Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_50,0.22026011,0.07771572,0.2905154,-0.38170514,2.1695814
Subject_51,1.3591467,-1.3058075,1.2331736,-0.35591453,0.6672066
Subject_52,1.0818628,1.1908536,1.323259,1.0987717,-0.60466826
Subject_53,0.33429825,0.45936644,0.33324015,1.6118983,0.23346336
Subject_54,-1.3507864,0.37253302,-1.072663,-0.4565742,0.7732746
Subject_55,1.2496365,0.13030341,0.06011832,1.383998,0.7588956
Subject_56,0.44387412,1.5023702,1.4596797,0.30024964,0.3837358
Subject_57,-1.7375455,-0.41018364,-2.0349834,-1.354487,-2.1356547
Subject_58,-0.71932006,0.2451046,0.024959976,0.85340667,-1.0703676
Subject_59,0.45622176,-0.86968476,0.6816699,1.2606217,-0.6947885
Subject_60,0.20118915,-0.144937,0.30710635,0.17580059,-1.3002626
Subject_61,1.0476781,-0.4917133,0.21258125,0.72823334,1.1573087
Subject_62,0.99755293,0.9793803,1.3403468,-0.57453114,-0.42070484
Subject_63,-2.1478853,0.17789257,-2.0826468,-0.9958762,-2.0110986
Subject_64,-0.46745703,0.22096416,-0.63386506,-0.6433943,0.9541621
Subject_65,-0.2775861,0.49220076,-0.30139753,0.46937263,0.6201473
Subject_66,1.1554059,-0.4451519,-1.6849605,-0.5251293,-0.29974246
Subject_67,1.7088246,1.4675272,1.2045991,0.733901,0.28529057
Subject_68,1.4218543,-0.16853714,1.1268698,0.551523,1.3278692
Subject_69,1.737821,0.9518204,-0.47967452,-1.1636235,0.77504224
Subject_70,0.29947928,-0.68612105,-1.2316041,0.0051846765,-0.63721657
Subject_71,-1.127619,1.1616386,0.9627689,-1.1481696,-2.2006905
Subject_72,-0.49475616,0.068501145,1.1572654,-0.03876251,1.0191102
Subject_73,0.723246,0.06427494,1.0426257,-0.51259774,1.1297396
Subject_74,-1.347307,1.15717,0.57864994,0.80149025,0.47830305
Subject_75,-1.993387,-0.18176495,-0.67458653,-0.48431918,-1.7131845
Subject_76,-1.0842575,0.37042898,-1.2967559,-0.7701791,0.24024028
Subject_77,0.4122251,-0.21575014,0.5455507,0.38627982,-0.16614437
Subject_78,2.0937796,0.65600246,1.1915184,0.31705168,-0.50063497
Subject_79,-1.9961706,0.4712329,-1.7973448,-0.9170517,1.3200209
Subject_80,-0.15687189,0.016407778,-0.022938171,-0.38548756,0.4579083
Subject_81,0.90336263,0.45989206,1.0862533,-0.9404103,-0.48540136
Subject_82,0.7421802,-1.3435992,0.75949407,0.620952,1.4699957
Subject_83,0.3935023,-0.8356027,0.1567639,-0.006133089,0.48083714
Subject_84,-1.1743143,-0.7629616,-1.2076162,0.8801671,-0.23532489
Subject_85,0.9575281,-0.29871222,0.87825763,-0.053130712,0.01118033
