Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
volume_sn_voxels::v1584,0.0003255173796787858,-7.491356518585235e-05,0.0003208887646906078,2.0397812477312982e-05,-1.3822105756844394e-05,-0.0001729746290948242,0.0015911291120573878,-0.0009579256875440478,0.00027486414182931185,1.3104448044032324e-05
volume_sn_voxels::v1585,0.00045529540511779487,9.117066656472161e-05,3.32973177137319e-05,-0.00029868463752791286,-1.1139150956296362e-05,7.262826693477109e-05,0.0009896333795040846,-0.0006057745777070522,-0.00020687544019892812,0.0001855485897976905
volume_sn_voxels::v1586,0.0004088774439878762,-2.116478754032869e-05,0.00011627189087448642,-0.000217179607716389,-0.00010636585648171604,-5.642434553010389e-05,0.0012367037124931812,-0.0007544950349256396,8.553727093385532e-05,0.00015064384206198156
volume_sn_voxels::v1587,0.0003197374753654003,-0.00011322733189444989,0.0002967847394756973,-5.885463178856298e-05,-0.00015599728794768453,-0.00019827918731607497,0.0013258317485451698,-0.0008724792278371751,0.0003820913261733949,9.939272422343493e-05
volume_sn_voxels::v1588,0.0005520049598999321,0.00012633937876671553,-5.407211574492976e-05,-0.0004927899572066963,4.862640344072133e-05,0.00014089577598497272,0.0005722526111640036,-0.00024966109776869416,-0.00040783430449664593,0.00021342269610613585
volume_sn_voxels::v1589,0.0004978812648914754,9.49427776504308e-05,-0.0001737928541842848,-0.0005271644331514835,-7.611663022544235e-05,0.0001662853464949876,0.0006080101011320949,-0.0003329050086904317,-0.00033141757012344897,0.00023633849923498929
volume_sn_voxels::v1590,0.00046628242125734687,1.3302857951202895e-05,-0.00013692195352632552,-0.0004932841402478516,-0.0001571926986798644,0.00013708029291592538,0.000776719010900706,-0.00048588140634819865,-0.00014519761316478252,0.00024523402680642903
volume_sn_voxels::v1591,0.00044236285611987114,-1.630844417377375e-05,6.498631410067901e-05,-0.00032873678719624877,-0.00024226383538916707,3.294989437563345e-05,0.0010367757640779018,-0.0007106565753929317,0.0001869539701147005,0.0002497485838830471
volume_sn_voxels::v1592,0.0005556245450861752,0.00011249307135585696,-0.00016263796715065837,-0.000635623000562191,9.43370378081454e-06,0.00021128809021320194,0.0004280729335732758,-7.694533269386739e-05,-0.00045508419862017035,0.00020690530072897673
volume_sn_voxels::v1593,0.0005330906715244055,8.871551835909486e-05,-0.00030625847284682095,-0.0007594057824462652,-8.797485497780144e-05,0.0003247498825658113,0.00035874807508662343,-0.00013795019185636193,-0.0004568421863950789,0.000255253107752651
volume_sn_voxels::v1594,0.0005343892844393849,6.587471580132842e-05,-0.0003157705068588257,-0.0007001124904491007,-0.00021375776850618422,0.00033502859878353775,0.00046052696416154504,-0.00022608802828472108,-0.00031658110674470663,0.00026682185125537217
volume_sn_voxels::v1595,0.0004872638382948935,2.8152804588899016e-05,-0.00019105934188701212,-0.000524367147590965,-0.0003082225448451936,0.0002649357193149626,0.0007031859131529927,-0.0004273296508472413,-2.2296604583971202e-05,0.0003013447276316583
volume_sn_voxels::v1596,0.0005521115963347256,0.0001253385271411389,-0.00025087728863582015,-0.000744135701097548,-2.641608261910733e-05,0.0003257204662077129,0.0003385377349331975,3.4720535040833056e-05,-0.0005477180820889771,0.00016610277816653252
volume_sn_voxels::v1597,0.0005056302761659026,0.00010959219071082771,-0.0003821982245426625,-0.000810110941529274,-0.00013759983994532377,0.0004091757582500577,0.0002460477699059993,2.207581201219e-05,-0.0005618160357698798,0.00023160534328781068
volume_sn_voxels::v1598,0.00048238332965411246,7.530509174102917e-05,-0.0003865965409204364,-0.0007972799940034747,-0.00024233898147940636,0.00042145789484493434,0.0002695810981094837,-5.4095413361210376e-05,-0.00045429085730575025,0.0002460171817801893
volume_sn_voxels::v1599,0.0005351639119908214,9.768881864147261e-05,-0.00033350050216540694,-0.000681139703374356,-0.00034609640715643764,0.00039354898035526276,0.00042116473196074367,-0.00019889039685949683,-0.00017516830121167004,0.00031837113783694804
volume_sn_voxels::v1600,0.0004778268630616367,9.857540135271847e-05,-0.00025788252241909504,-0.0006880151340737939,-8.230104140238836e-05,0.0003958010347560048,0.000339994061505422,0.0001413386344211176,-0.0005058792303316295,4.92864492116496e-05
volume_sn_voxels::v1601,0.00047135079512372613,0.00012019759742543101,-0.00035526216379366815,-0.0007673646323382854,-0.00019594968762248755,0.00045275624142959714,0.00018709122377913445,0.00013965702964924276,-0.0005439032102003694,0.0001171635085484013
volume_sn_voxels::v1602,0.00045053797657601535,0.0001302601012866944,-0.00037138810148462653,-0.0007535124314017594,-0.00029039024957455695,0.0004737996787298471,0.00016186301945708692,8.393962343689054e-05,-0.00046007041237317026,0.0001745018089422956
volume_sn_voxels::v1603,0.00047276998520828784,0.00012377423990983516,-0.00033754168543964624,-0.000673147791530937,-0.0003708871081471443,0.00040633935714140534,0.0002439199306536466,6.522248440887779e-06,-0.00024610781110823154,0.00026627484476193786
volume_sn_voxels::v1604,0.00048151571536436677,0.00014844820543657988,-0.00018853318761102855,-0.0004504618118517101,-0.0003897439455613494,0.0002992868539877236,0.0003489539958536625,-0.00014320536865852773,0.00012605053780134767,0.0003074994310736656
volume_sn_voxels::v1605,0.0004725594772025943,0.00018953310791403055,5.027892711950699e-06,-0.00021174096036702394,-0.0003588567487895489,0.0002027028240263462,0.00045966720790602267,-0.0002999072603415698,0.0005043846322223544,0.0003170061681885272
volume_sn_voxels::v1606,0.0004151220200583339,0.0001405668444931507,-0.00024496368132531643,-0.000593500561080873,-0.00016385405615437776,0.0005179208819754422,0.00037814403185620904,0.00023073033662512898,-0.00042611919343471527,-7.097735942807049e-05
volume_sn_voxels::v1607,0.00044400565093383193,0.00018075347179546952,-0.0003366663004271686,-0.0007275620009750128,-0.0002957708202302456,0.0005478101084008813,0.00016689300537109375,0.00022902057389728725,-0.0004987318534404039,4.168877057963982e-05
volume_sn_voxels::v1608,0.00043323758291080594,0.0001944250543601811,-0.000297447171760723,-0.0007126859854906797,-0.0003903187462128699,0.0004923142842017114,7.008539250819013e-05,0.0002547912881709635,-0.0004149506567046046,0.00012135516590205953
volume_sn_voxels::v1609,0.00042331637814641,0.0001688679913058877,-0.00022506709501612931,-0.0006091806571930647,-0.0004060000937897712,0.0003916432033292949,8.245431672548875e-05,0.00020455438061617315,-0.00024357132497243583,0.00020529687753878534
volume_sn_voxels::v1610,0.0004971965099684894,0.00020598068658728153,-0.00015184114454314113,-0.0004866428207606077,-0.00044482614612206817,0.0003063855110667646,0.00016709767805878073,9.106538345804438e-05,3.040721821889747e-06,0.0003202433872502297
volume_sn_voxels::v1611,0.0003632882726378739,0.0002263890055473894,-0.0002284715010318905,-0.0004074814496561885,-0.0001960228109965101,0.0006191238644532859,0.0004235992964822799,0.00029413256561383605,-0.00033720850478857756,-0.000142095290357247
volume_sn_voxels::v1612,0.00040469845407642424,0.00029243784956634045,-0.00025279191322624683,-0.0006060210289433599,-0.0003899565781466663,0.0006477557471953332,0.00014009713777340949,0.0003712303878273815,-0.00044501933734863997,-1.3302597835718188e-05
volume_sn_voxels::v1613,0.00044484774116426706,0.00028769069467671216,-0.00019922450883314013,-0.0006758238305337727,-0.0004886379465460777,0.0005626487545669079,-1.1594079296628479e-06,0.0004636744852177799,-0.0003992005076725036,8.894028724171221e-05
volume_sn_voxels::v1614,0.0004693822411354631,0.00028584181563928723,-9.76551091298461e-05,-0.0006166792009025812,-0.0005198600701987743,0.0004568300792016089,-3.109047975158319e-05,0.0004666732857003808,-0.00027776460046879947,0.0001923021045513451
volume_sn_voxels::v1615,0.0004836248408537358,0.0002969886700157076,-4.623109271051362e-05,-0.0004758380528073758,-0.0004690448404289782,0.00033540406730026007,2.8450260288082063e-05,0.0003523364430293441,-8.263329800684005e-05,0.00030635338043794036
volume_sn_voxels::v1616,0.000480030314065516,0.00029205504688434303,-6.503997155959951e-06,-0.0002617374702822417,-0.00037619989598169923,0.00020648525969590992,0.00014537997776642442,0.00012841357965953648,0.00016383183537982404,0.00039237848250195384
volume_sn_voxels::v1617,0.0003370713093318045,0.00037698226515203714,-0.0002460055402480066,-0.00012623119982890785,-0.00023449909349437803,0.0008268167148344219,0.00046648929128423333,0.00035521399695426226,-0.00022341212024912238,-0.00012513234105426818
volume_sn_voxels::v1618,0.000400008459109813,0.00046544783981516957,-0.00021422412828542292,-0.0004090283764526248,-0.0003965577925555408,0.0007748898933641613,0.00014002469833940268,0.000518531771376729,-0.00040143492515198886,3.259734876337461e-05
volume_sn_voxels::v1619,0.000462656666059047,0.0004024597001262009,-8.766234532231465e-05,-0.000522339716553688,-0.0005209263763390481,0.0006320543470792472,-6.595270679099485e-05,0.0006273258477449417,-0.00040202896343544126,0.000111794812255539
volume_sn_voxels::v1620,0.00045910285552963614,0.0003562025958672166,2.6352643544669263e-05,-0.00048413543845526874,-0.0005247581284493208,0.0004165517748333514,-0.00010703870793804526,0.0006462758756242692,-0.00028968494734726846,0.0001657662505749613
volume_sn_voxels::v1621,0.0005012479959987104,0.0003516083233989775,9.867176413536072e-05,-0.0004232670471537858,-0.0005059731192886829,0.0002966347092296928,-6.19541751802899e-05,0.0005968190380372107,-0.0001595264475326985,0.0002805441909004003
volume_sn_voxels::v1622,0.0005737719475291669,0.0004081202205270529,8.668068039696664e-05,-0.00032001230283640325,-0.000424509693402797,0.00018687792180571705,6.488845974672586e-05,0.00038196443347260356,1.6100664652185515e-05,0.000479780399473384
volume_sn_voxels::v1623,0.0002565289323683828,0.0005018223309889436,-0.0002417872892692685,0.00019033275020774454,-0.00015982617333065718,0.000966804102063179,0.00040370880742557347,0.00032040817313827574,-0.00012507510837167501,3.734636266017333e-05
volume_sn_voxels::v1624,0.0003812164650298655,0.0006111990660429001,-0.0001932566665345803,-0.0001304968900512904,-0.00034297461388632655,0.0008366600377485156,6.272418249864131e-05,0.0005007405416108668,-0.00033207351225428283,0.00017153340741060674
volume_sn_voxels::v1625,0.00044746696949005127,0.0005957037792541087,-3.7380224966909736e-05,-0.0003588421968743205,-0.0004965051775798202,0.0006220598006621003,-8.94887198228389e-05,0.0007148950826376677,-0.0004032683209516108,0.00021524418843910098
volume_sn_voxels::v1626,0.0004776989226229489,0.00045985833276063204,0.00013520100037567317,-0.0003830960195045918,-0.00046477929572574794,0.0003803421859629452,-0.00011506788723636419,0.0007401559269055724,-0.00031055056024342775,0.0002503877622075379
volume_sn_voxels::v1627,0.0005292223650030792,0.00044962880201637745,0.00019606613204814494,-0.0003706830902956426,-0.0004693412920460105,0.0002452752087265253,-7.328527135541663e-05,0.0006914641708135605,-0.00023209708160720766,0.00035056815249845386
volume_sn_voxels::v1628,0.0006561468471772969,0.0005326556274667382,0.00019888023962266743,-0.0002944033476524055,-0.00040608143899589777,4.710500070359558e-05,3.218954225303605e-05,0.0005449771415442228,-0.00013555490295402706,0.0005335471360012889
volume_sn_voxels::v1629,0.0005439429078251123,0.0004302042070776224,0.00012393519864417613,-0.00010703994485083967,-0.00021840742556378245,-0.00011304269719403237,0.00017132671200670302,0.00017270090756937861,7.324520265683532e-05,0.0005653435364365578
volume_sn_voxels::v1630,0.0001986432762350887,0.0006316747749224305,-0.0002485205768607557,0.00047654969966970384,-6.0905407735845074e-05,0.0009895898401737213,0.00033622002229094505,0.0002337291371077299,-3.5332537663634866e-05,0.00022821036691311747
volume_sn_voxels::v1631,0.0002926373854279518,0.0006642044754698873,-0.00019553319725673646,0.00012081244494765997,-0.00019296884420327842,0.0007243013824336231,2.7711203074431978e-05,0.0003359019465278834,-0.00022867321968078613,0.00036466485471464694
volume_sn_voxels::v1632,0.00040667105349712074,0.0006767422892153263,-4.693922892329283e-05,-0.00016187067376449704,-0.0003469000803306699,0.00048395327758044004,-8.51210206747055e-05,0.00048317533219233155,-0.00034079101169481874,0.0004590613825712353
volume_sn_voxels::v1633,0.0005092808278277516,0.0006100679165683687,0.00012203134974697605,-0.00029258214635774493,-0.00038380586192943156,0.00022234836069401354,-8.701175102032721e-05,0.0006261003436520696,-0.00033933829399757087,0.0005127639742568135
volume_sn_voxels::v1634,0.0005801989464089274,0.0005708410171791911,0.00021955964621156454,-0.00029918443760834634,-0.0003483577456790954,-1.8674567400012165e-05,-1.682943729974795e-05,0.0006104796775616705,-0.0002844952396117151,0.0006018669810146093
volume_sn_voxels::v1635,0.0006484453333541751,0.0005987462354823947,0.00023307534866034985,-0.0002446902508381754,-0.00026197335682809353,-0.0002817779313772917,5.471183976624161e-05,0.000424145080614835,-0.0002230392419733107,0.0006999169127084315
volume_sn_voxels::v1636,0.0005629739025607705,0.0005275767762213945,0.00017693007248453796,-0.00013337144628167152,-0.00013853292330168188,-0.0003874546382576227,0.00016776782285887748,0.00019777752459049225,-0.0001112325262511149,0.0006710864254273474
volume_sn_voxels::v1637,0.0005085822194814682,0.00045439612586051226,0.00019702814461197704,-9.349194442620501e-05,-0.00011294304567854851,-0.00038676144322380424,0.00026470376178622246,5.3993127949070185e-05,-3.597177783376537e-05,0.0004957914352416992
volume_sn_voxels::v1638,0.00018326679128222167,0.0007341062882915139,-0.0002680995094124228,0.0006780425319448113,3.1470772228203714e-05,0.001072398154065013,0.000341168197337538,0.00019185258133802563,7.084586104610935e-05,0.00042861964902840555
volume_sn_voxels::v1639,0.00026244024047628045,0.0006844482268206775,-0.00019089391571469605,0.0002771739673335105,-8.995768439490348e-05,0.0006034539546817541,4.138679651077837e-05,0.00019358249846845865,-9.657940245233476e-05,0.0005518205580301583
volume_sn_voxels::v1640,0.0003875374386552721,0.0006972328992560506,-0.00010495142487343401,2.6202736989944242e-05,-0.0001753934775479138,0.00025094737065955997,-3.367563840583898e-05,0.0002556436520535499,-0.00020328874234110117,0.0006939979502931237
