Feature,Factor_0,Factor_1
volume_sn_voxels::v237,-1.5912104,1.4219282
volume_sn_voxels::v238,-1.4145153,1.3829211
volume_sn_voxels::v239,-1.4330513,1.3323545
volume_sn_voxels::v240,-1.4246974,0.9517194
volume_sn_voxels::v241,-1.2074211,0.3496988
volume_sn_voxels::v242,-0.906174,0.20997688
volume_sn_voxels::v243,-1.0961691,0.6239222
volume_sn_voxels::v244,-1.364733,0.8760941
volume_sn_voxels::v245,-1.558773,1.2749125
volume_sn_voxels::v246,-1.6646734,1.6091542
volume_sn_voxels::v247,-1.5865088,1.3432418
volume_sn_voxels::v248,-1.2830994,1.2414066
volume_sn_voxels::v249,-1.3629696,0.9166568
volume_sn_voxels::v250,-1.1435294,0.60214615
volume_sn_voxels::v251,-1.0393147,0.20740232
volume_sn_voxels::v252,-0.62058485,0.07619885
volume_sn_voxels::v253,-0.8020684,0.3789133
volume_sn_voxels::v254,-1.1655029,0.6472531
volume_sn_voxels::v255,-1.3480971,1.0811244
volume_sn_voxels::v256,-1.4013823,1.2642894
volume_sn_voxels::v257,-1.4718697,1.197462
volume_sn_voxels::v258,-1.4996295,1.2498484
volume_sn_voxels::v259,-1.4397129,1.0500418
volume_sn_voxels::v260,-1.2062082,0.71035826
volume_sn_voxels::v261,-1.0273709,0.394177
volume_sn_voxels::v262,-0.8355701,0.31769097
volume_sn_voxels::v263,-0.95562714,0.74540466
volume_sn_voxels::v264,-1.028645,0.7432721
volume_sn_voxels::v265,-1.2235749,0.9539312
volume_sn_voxels::v266,-1.4538926,1.079053
volume_sn_voxels::v267,-1.6315783,1.1705035
volume_sn_voxels::v268,-1.2664695,0.7078285
volume_sn_voxels::v269,-1.0819318,0.29985574
volume_sn_voxels::v270,-0.6302416,0.19172671
volume_sn_voxels::v271,-0.85232896,0.4578655
volume_sn_voxels::v272,-0.9556879,0.5246531
volume_sn_voxels::v273,-1.0594597,0.6483104
volume_sn_voxels::v274,-1.2697706,0.73038316
volume_sn_voxels::v275,-1.3249851,0.5183292
volume_sn_voxels::v276,-1.1420941,0.20845936
volume_sn_voxels::v277,-1.022193,-0.10203117
volume_sn_voxels::v278,-0.63270235,-0.10477046
volume_sn_voxels::v279,-0.8423289,-0.074437544
volume_sn_voxels::v280,-0.8295073,0.028732369
volume_sn_voxels::v281,-1.0937357,0.06349443
volume_sn_voxels::v282,-1.1310939,-0.17132531
volume_sn_voxels::v283,-0.41707996,0.053284887
volume_sn_voxels::v284,-0.8546369,0.35741135
volume_sn_voxels::v285,-0.7300742,0.25901702
volume_sn_voxels::v286,-1.0605286,0.75393564
volume_sn_voxels::v287,-1.2964371,0.61630183
volume_sn_voxels::v288,-1.0695024,0.3847427
volume_sn_voxels::v289,-1.3528632,1.0306242
