Feature,Factor_2,Factor_4,Factor_7,Factor_8,Factor_13,Factor_15,Factor_18
volume_sn_voxels_feature_37,-0.04246363043785095,1.2613886594772339,0.2122361660003662,0.4680328071117401,1.2544904947280884,-1.1541292667388916,-0.22868293523788452
volume_sn_voxels_feature_38,-0.17942474782466888,-0.7161860466003418,0.27023574709892273,-0.5736892819404602,-1.4075626134872437,-1.2101033926010132,0.24018006026744843
volume_sn_voxels_feature_39,-0.00796180497854948,-0.6530948281288147,0.022077292203903198,-0.2728091776371002,-0.9891889691352844,-1.0159660577774048,0.5169016122817993
volume_sn_voxels_feature_40,-0.07003649324178696,0.2019604593515396,-0.09133440256118774,-0.02802635170519352,1.0140174627304077,-1.1001054048538208,0.1985359638929367
volume_sn_voxels_feature_41,-0.28771498799324036,1.1319854259490967,-0.13927577435970306,0.03254075348377228,1.3944615125656128,-1.241942048072815,0.2850770950317383
volume_sn_voxels_feature_42,-0.6938994526863098,1.3319813013076782,-0.3017602860927582,0.0442265160381794,1.3719182014465332,-1.3316025733947754,0.07092366367578506
volume_sn_voxels_feature_43,0.44045791029930115,1.2951337099075317,-1.2899271249771118,0.7691189646720886,0.6456034183502197,0.700394332408905,-1.1901999711990356
volume_sn_voxels_feature_44,0.7910816669464111,0.18536491692066193,-1.415284276008606,-0.2918897569179535,0.6960445046424866,-0.2714878022670746,-0.9308778643608093
volume_sn_voxels_feature_45,0.12817831337451935,-0.7620075345039368,-1.1450432538986206,-0.46688732504844666,-1.3142517805099487,-1.038678526878357,-0.27397462725639343
volume_sn_voxels_feature_46,-0.07674925774335861,1.2915185689926147,0.5463774800300598,0.48475202918052673,0.5419119000434875,-1.1332069635391235,-1.1520551443099976
volume_sn_voxels_feature_47,0.04726452752947807,-0.30630698800086975,-0.903306245803833,-0.07110446691513062,-1.300059199333191,-0.18847636878490448,0.061768222600221634
volume_sn_voxels_feature_48,0.6902111172676086,0.8048372268676758,-0.6025599837303162,0.5356501936912537,0.2200678586959839,0.8243972659111023,-0.32989034056663513
volume_sn_voxels_feature_49,-0.08147340267896652,1.1767559051513672,0.4419071674346924,0.6887995600700378,0.4156811535358429,-1.1564463376998901,-1.3798621892929077
volume_sn_voxels_feature_50,0.11171076446771622,-0.16717134416103363,-0.10697579383850098,-0.1393156498670578,-1.3827285766601562,0.4658382833003998,-0.0631859302520752
volume_sn_voxels_feature_51,0.3977903127670288,-0.5330631136894226,-0.17487721145153046,0.06450498104095459,-1.2717396020889282,0.7678623199462891,0.26427802443504333
volume_sn_voxels_feature_52,0.6548990607261658,-0.32236942648887634,-0.2463386505842209,0.1735052913427353,-1.0777472257614136,0.6686235070228577,0.06276020407676697
volume_sn_voxels_feature_53,-0.20324338972568512,1.2682889699935913,0.03541145473718643,0.35250863432884216,1.2689703702926636,-0.7456805109977722,-0.8826971650123596
volume_sn_voxels_feature_54,0.18383102118968964,-0.7484260201454163,0.24433064460754395,-0.07394401729106903,-1.3021138906478882,-0.32511410117149353,-0.016746297478675842
volume_sn_voxels_feature_55,0.222100630402565,-0.6208102703094482,0.20378392934799194,-0.15561915934085846,-0.7705262303352356,-0.5255458354949951,-0.032177940011024475
volume_sn_voxels_feature_56,0.0788048580288887,0.4739990234375,0.10645397752523422,-0.00968527514487505,1.1304866075515747,-0.6737028956413269,-0.2946033179759979
volume_sn_voxels_feature_57,0.05259634926915169,1.1399325132369995,0.09350746870040894,0.009316250681877136,1.186613917350769,-0.9400396347045898,-0.2677024006843567
volume_sn_voxels_feature_58,-0.12452223896980286,1.2625571489334106,0.09251406043767929,0.1772518754005432,1.401297688484192,-1.1553791761398315,-0.050212692469358444
volume_sn_voxels_feature_59,-0.44492974877357483,1.1973848342895508,-0.32877495884895325,0.21900628507137299,1.2248404026031494,-1.1315377950668335,-0.23768927156925201
volume_sn_voxels_feature_60,-0.26010775566101074,-0.4593793451786041,0.212816521525383,-0.7033506035804749,0.28150230646133423,-1.1465412378311157,-0.03067467175424099
volume_sn_voxels_feature_61,-0.3298119306564331,0.5661250948905945,0.21704860031604767,-0.662227213382721,1.3201690912246704,-1.0989609956741333,-0.059485290199518204
volume_sn_voxels_feature_62,-0.29172125458717346,1.3678845167160034,0.21736949682235718,-0.4647812843322754,1.3314052820205688,-1.1914238929748535,0.05634935200214386
volume_sn_voxels_feature_63,-0.43855008482933044,1.2884745597839355,-0.3337445557117462,-0.21104438602924347,1.4337340593338013,-1.332118034362793,0.32990390062332153
volume_sn_voxels_feature_64,0.6172747015953064,1.1860712766647339,-1.1019374132156372,-0.11457016319036484,0.93975830078125,0.835293710231781,-0.9484277367591858
volume_sn_voxels_feature_65,0.3595571517944336,-0.5057374835014343,-1.2218660116195679,-0.19869379699230194,-1.262122631072998,-0.4964243471622467,-0.8924755454063416
volume_sn_voxels_feature_66,0.7931904196739197,0.6616296172142029,-1.330626368522644,0.10278493165969849,-0.4350198209285736,0.350685715675354,-0.9668754935264587
volume_sn_voxels_feature_67,0.15069936215877533,1.2592719793319702,0.5310773253440857,0.3288995027542114,0.29380252957344055,-1.0544923543930054,-1.0794085264205933
volume_sn_voxels_feature_68,0.2037128061056137,-0.14538943767547607,-1.2830373048782349,0.3453925549983978,-1.293367862701416,-0.11760866641998291,-0.11464396864175797
volume_sn_voxels_feature_69,0.3667011260986328,0.6846830248832703,-1.3105181455612183,0.46375226974487305,-0.7829025387763977,0.6494055390357971,-0.30792197585105896
volume_sn_voxels_feature_70,0.33255115151405334,1.2820649147033691,-1.20786714553833,0.5210744142532349,0.6834344863891602,0.9468688368797302,-0.5381546020507812
volume_sn_voxels_feature_71,-0.037544988095760345,1.2774457931518555,0.28141340613365173,0.314557284116745,0.28177228569984436,-1.158997654914856,-1.3083252906799316
volume_sn_voxels_feature_72,0.15818099677562714,1.225928783416748,0.5204436182975769,0.42869314551353455,0.2882749140262604,-1.0023205280303955,-1.3185518980026245
volume_sn_voxels_feature_73,-0.13954053819179535,-0.31960925459861755,-1.128182291984558,0.2972327768802643,-1.2859472036361694,-0.7713575959205627,0.24025410413742065
volume_sn_voxels_feature_74,0.2283366173505783,-0.21630100905895233,-1.173073649406433,0.5536267161369324,-1.2085415124893188,0.3490152657032013,0.23094584047794342
volume_sn_voxels_feature_75,0.38813909888267517,0.2872981131076813,-1.0379304885864258,0.29878130555152893,-0.6378265619277954,0.6562959551811218,0.13114458322525024
volume_sn_voxels_feature_76,0.254544734954834,1.1218703985214233,-0.9912365078926086,0.3793664872646332,1.12667977809906,0.8387330174446106,-0.34732356667518616
volume_sn_voxels_feature_77,-0.10825375467538834,1.3129197359085083,-0.21946997940540314,0.3298252820968628,0.38087761402130127,-1.147618293762207,-1.42292058467865
volume_sn_voxels_feature_78,-0.09019150584936142,-0.16230067610740662,-0.5991908311843872,0.14972150325775146,-1.4992374181747437,-0.43953776359558105,0.1644933819770813
volume_sn_voxels_feature_79,0.12453917413949966,-0.5376865267753601,-0.6785354614257812,0.08109638839960098,-1.4656723737716675,0.3652517795562744,0.06383407860994339
volume_sn_voxels_feature_80,0.16786397993564606,0.026344075798988342,-0.5760372281074524,-0.08089592307806015,-0.03281468152999878,0.4107622802257538,-0.26490625739097595
