Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v144,-1.648395,0.1634683,11.18754,-0.35935774,0.85173565
volume_sn_voxels::v145,0.7179519,0.42796558,7.4854655,10.94301,0.95417976
volume_sn_voxels::v146,1.9717461,0.3049334,12.421057,0.009894449,0.955051
volume_sn_voxels::v147,0.03561606,-0.17588277,2.334887,-3.437607,1.0072333
volume_sn_voxels::v148,-0.7353296,-0.27356833,7.337696,-0.124438584,0.77049595
volume_sn_voxels::v149,1.2376361,0.20358518,11.151883,-6.564035,1.004603
volume_sn_voxels::v150,0.8000711,0.03830267,10.315197,5.3480716,0.8942449
volume_sn_voxels::v151,-1.1952031,0.17871457,9.1162,-8.299248,0.84703994
volume_sn_voxels::v152,-0.71198565,0.316392,-2.0263066,-3.2816184,0.8464984
volume_sn_voxels::v153,1.3680677,-0.00019112245,-1.4247547,-2.9693248,0.8852117
volume_sn_voxels::v154,0.46736854,0.24470611,-0.74913,-1.2575655,0.92030585
volume_sn_voxels::v155,0.278649,-0.059411354,2.4233289,2.6215596,0.9464041
volume_sn_voxels::v156,-1.4987577,0.08380389,2.4304078,-4.2483144,0.82096297
volume_sn_voxels::v157,-1.0685108,-0.090766184,11.539347,-1.8382853,0.79281783
volume_sn_voxels::v158,-1.7147588,0.6494062,11.83619,-5.1754174,1.0975673
volume_sn_voxels::v159,-2.3147254,0.012810629,-2.0586827,-0.016889352,0.7390128
volume_sn_voxels::v160,1.2999339,-0.12794083,-3.9885864,9.244183,0.6882859
volume_sn_voxels::v161,1.7861974,0.1953098,1.3706019,-5.6313868,0.8634238
volume_sn_voxels::v162,-0.20031361,-0.002676631,7.9840117,6.714447,0.84042776
volume_sn_voxels::v163,0.65615517,0.21451196,-7.132738,-5.150078,0.84672695
volume_sn_voxels::v164,-0.91447365,0.39041236,0.21477653,-4.180815,1.0802929
volume_sn_voxels::v165,-0.07119318,0.13794415,-6.283047,-2.4540298,0.9841963
volume_sn_voxels::v166,1.8647367,-0.041161764,8.336579,-0.66071004,0.990097
volume_sn_voxels::v167,-0.26933226,0.08898222,-5.2153955,2.61147,0.96637636
volume_sn_voxels::v168,0.29034555,-0.06278338,10.206753,7.9159217,0.75026554
volume_sn_voxels::v169,1.01195,0.058753233,11.259202,-0.5625143,0.7797041
volume_sn_voxels::v170,-0.98339784,-0.15652165,9.107064,15.125169,0.7823765
volume_sn_voxels::v171,-1.9242072,-0.07068943,-0.28450534,-3.473117,0.811828
volume_sn_voxels::v172,0.79475313,0.42766547,-2.56256,-8.796825,0.68387073
volume_sn_voxels::v173,0.036566086,0.761521,0.37691286,6.195829,1.1951811
volume_sn_voxels::v174,0.35583365,0.37011778,-1.8958422,-2.6838317,0.93612236
volume_sn_voxels::v175,-0.905266,0.47904858,2.035849,7.6588664,1.1015662
volume_sn_voxels::v176,-1.1361443,-0.017146057,1.5670896,-5.6733527,0.9559407
volume_sn_voxels::v177,1.2474653,0.22957376,5.0784183,-5.0007486,1.0844432
volume_sn_voxels::v178,-2.4412704,0.4062254,-2.3289192,-2.8482552,1.1507101
volume_sn_voxels::v179,-0.7013361,-0.1177656,5.867191,-1.0003699,0.80447775
volume_sn_voxels::v180,0.28721482,-0.3805636,6.5207615,-10.806227,0.6769942
volume_sn_voxels::v181,0.13366935,-0.32476324,1.6607354,3.918771,0.7083723
volume_sn_voxels::v182,0.10901401,0.8312463,3.4624875,0.37599072,0.92209005
volume_sn_voxels::v183,-1.048918,0.6400252,-7.496204,4.8725553,0.9260031
volume_sn_voxels::v184,1.7569162,0.77933383,-3.1826923,-1.3665003,1.0696582
volume_sn_voxels::v185,1.7338016,0.5382509,-5.7893257,-4.298242,1.131845
volume_sn_voxels::v186,0.06706216,0.40006617,2.1719143,3.1771548,1.0147755
volume_sn_voxels::v187,-0.15095589,0.21416621,5.707241,-1.0214211,0.9569465
volume_sn_voxels::v188,-4.3435655,-0.38625613,3.2734892,0.377224,0.5822389
volume_sn_voxels::v189,-0.5460179,-0.25869447,4.90646,14.342957,0.80568725
volume_sn_voxels::v190,0.4658028,-0.39473066,-1.3458323,6.3563056,0.6780338
volume_sn_voxels::v191,-1.7600533,0.7680452,-1.9215246,-3.690959,0.86630684
volume_sn_voxels::v192,0.9074005,0.7096218,-3.1925306,7.5830297,0.8965947
volume_sn_voxels::v193,-3.762461,0.09796818,-2.485928,2.7669773,0.8389828
volume_sn_voxels::v194,0.44893378,0.6122586,6.653898,12.050762,1.1191139
volume_sn_voxels::v195,0.5819057,0.58401096,-0.7342164,-1.7336273,1.0461249
volume_sn_voxels::v196,-4.7538757,-0.25653362,5.4632206,-0.24736574,0.7801633
volume_sn_voxels::v197,-1.9767375,-0.60495543,-3.124358,-3.171425,0.6242295
volume_sn_voxels::v198,-3.5774813,-0.48135146,4.248322,-3.4617195,0.58714145
volume_sn_voxels::v199,0.31342208,1.1757267,0.8773932,-2.898854,0.96360147
volume_sn_voxels::v200,-0.84950477,0.84034765,-4.9043446,1.443163,0.914092
volume_sn_voxels::v201,0.39683238,1.2901771,-0.32643312,-6.493403,1.3350961
volume_sn_voxels::v202,0.9043989,0.6379748,-1.3074427,-10.321314,0.9980877
volume_sn_voxels::v203,2.2602258,0.35899493,-4.624202,-0.45256573,1.0717441
volume_sn_voxels::v204,0.77552795,-0.06904165,-3.514657,10.467368,0.81330574
volume_sn_voxels::v205,0.046073623,-0.6103873,5.7738295,5.037723,0.4854626
volume_sn_voxels::v206,-0.9737286,0.6748529,-1.3854138,-4.443665,0.69843334
volume_sn_voxels::v207,0.7220977,0.48847535,-4.2067595,11.482617,0.6309012
volume_sn_voxels::v208,0.09901844,0.33642507,-6.14665,-7.4241767,0.66993684
volume_sn_voxels::v209,-3.564329,0.27045372,-0.9061496,-7.3794975,0.6936498
volume_sn_voxels::v210,-0.63196546,0.12616356,11.417783,17.239328,0.68584526
