Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
volume_sn_voxels::v81,0.00051227584,-0.000647461,-0.000510237,0.00015639303,0.0004474003,-0.00017579236,0.00018135212,-0.00054854946
volume_sn_voxels::v82,0.0005565896,-0.0007875237,-0.000303423,0.00030946196,0.0007643345,-0.00025251895,6.291777e-05,-0.00013170623
volume_sn_voxels::v83,0.0005799188,-0.0009224097,-0.00027997652,0.00048751445,0.0008294408,-0.00038553763,-7.723193e-05,0.00023655739
volume_sn_voxels::v84,0.0006799633,-0.0010204109,-9.714074e-05,0.0006025722,0.0014336484,-0.0005206762,-8.556244e-05,0.00086201535
volume_sn_voxels::v85,0.00070629595,-0.00096470374,-0.00018118384,0.00056725554,0.0012435799,-0.00034687723,-0.00030035566,0.0011706138
volume_sn_voxels::v86,0.0007354633,-0.00090031454,6.850733e-05,0.00051561487,0.0015016105,-0.00047963508,2.80675e-05,0.0012072477
volume_sn_voxels::v87,0.0005719027,-0.00036670477,-0.0001102432,0.00011396203,0.0004529644,0.00031735504,5.4333945e-05,-0.0011199666
volume_sn_voxels::v88,0.000556546,-0.0007668302,-0.00023335831,0.00022622557,0.0005239557,1.0262102e-05,-0.00017535196,-0.0008479308
volume_sn_voxels::v89,0.0005912608,-0.0006911221,-0.00034677485,0.0001752773,0.0004931183,-0.00019098567,-7.923059e-05,-0.0006507753
volume_sn_voxels::v90,0.00054826145,-0.00078745664,-0.00019642449,0.0004280985,0.0007797294,-0.00035194744,-0.0002903753,-0.00016884938
volume_sn_voxels::v91,0.00078600924,-0.0010379361,-0.00023814857,0.00045223342,0.00137969,-0.0006055069,-0.0005310666,0.0003362401
volume_sn_voxels::v92,0.0009420574,-0.0014229306,-0.00029070093,0.000743349,0.0017159721,-0.0004554689,-0.00040452834,0.0009096841
volume_sn_voxels::v93,0.0008071441,-0.0011294878,-8.84711e-05,0.0006759098,0.001602113,-0.00028020045,-0.0002895271,0.0010696185
volume_sn_voxels::v94,0.000753478,-0.0010021294,5.3229523e-05,0.0008538203,0.0013867021,-0.0003207014,-0.000105808744,0.0011648901
