Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v872,0.00032331675,-3.0156436e-05,-0.00056580565,-0.0003919253,3.5664518e-05,0.00039410064,2.9771147e-05,0.00025825656,-0.00041756043,-0.000586226,-0.0002226579,0.00033485494
volume_sn_voxels::v873,0.000278035,5.785665e-05,-0.00026770734,2.9361152e-05,2.8556567e-05,0.00043995347,0.000381421,0.00029309638,-0.00038613917,-0.0005686039,-7.5561125e-05,0.000494283
volume_sn_voxels::v874,0.00042864107,8.682671e-07,-0.0004940059,-0.00032808186,-0.00018210226,0.0001324646,0.00015111997,-0.00010753098,0.00017260086,-0.00047874652,0.00032128525,-9.063682e-05
volume_sn_voxels::v875,0.00039705337,-1.5905835e-06,-0.0005885756,-0.00042537093,-0.00015086196,0.00018429008,-3.9310173e-05,0.00014070036,-4.5837838e-05,-0.00056640327,2.2805543e-06,-2.4949535e-05
volume_sn_voxels::v876,0.00036635727,-3.317599e-05,-0.00064088474,-0.00044993495,-7.951144e-05,0.00026746473,-0.00011925922,0.00025791323,-0.00018806105,-0.00060612726,-0.00017555417,8.8853e-06
volume_sn_voxels::v877,0.00028732503,-6.0552884e-05,-0.0006079607,-0.00036253317,-8.861376e-05,0.00039073636,-6.359289e-05,0.00029651687,-0.00029495594,-0.0007137364,-0.00030974203,2.9626077e-05
volume_sn_voxels::v878,0.00030808727,-8.4832594e-05,-0.0005383435,-5.6927e-05,-9.145271e-05,0.0005477075,0.00028180616,0.00027791728,-0.0003155038,-0.0007446916,-0.00029852253,-2.2598539e-05
volume_sn_voxels::v879,0.00018329291,-6.084019e-05,-0.00027840212,0.0004209763,-0.00010983007,0.00069966685,0.00081109145,0.0003126931,-0.0002076438,-0.00076878304,-7.682362e-05,5.498084e-05
volume_sn_voxels::v880,0.00044198055,0.00010822537,-0.0003870311,-0.00021908403,-0.0002590137,7.4130944e-06,0.00020506985,-0.00029315657,0.000400425,-0.00039728076,0.00052501,-0.0001539775
volume_sn_voxels::v881,0.0004431467,9.332455e-05,-0.0004616806,-0.00022712308,-0.00024181514,5.912528e-05,2.4881494e-05,-2.9989937e-05,0.00017477186,-0.0005526999,0.00019599668,-0.0001303351
volume_sn_voxels::v882,0.00038664366,6.0364164e-05,-0.0006285459,-0.00030130742,-0.00018014693,0.0002005718,-0.00012132602,0.00017937968,6.7312726e-06,-0.00074259314,-6.338661e-05,-0.00018470811
volume_sn_voxels::v883,0.0003466711,2.0284879e-06,-0.0006133813,-0.00022945846,-0.00014911717,0.00027143036,-8.3681916e-05,0.0002493233,-0.00012741364,-0.0008291318,-0.00025554548,-0.00024757095
volume_sn_voxels::v884,0.00027304984,-1.9454363e-05,-0.0005576937,-5.351987e-05,-0.00014905664,0.00048961747,0.00012955574,0.00030636368,-0.00019828024,-0.0009401511,-0.00035491353,-0.00030146653
volume_sn_voxels::v885,0.00019111688,-0.00010708159,-0.00052495196,0.00036746688,-0.00017078577,0.0007488204,0.00063164294,0.00030775383,-0.00013770965,-0.0010639259,-0.0003696518,-0.00043623935
volume_sn_voxels::v886,9.636834e-05,-0.00014223861,-0.00014610976,0.00056389166,-0.00017858982,0.00063506205,0.0010621976,0.00023445742,1.6575721e-05,-0.000751173,-0.000107086395,-0.0003599385
volume_sn_voxels::v887,0.00045079747,0.00023887838,-0.00042818216,-0.000109649256,-0.00022970802,-0.00018096494,5.022289e-05,-0.00029126936,0.00034375195,-0.0004689243,0.0003735296,-0.00014627886
volume_sn_voxels::v888,0.00048511042,0.00020761929,-0.0004985089,-0.00013290244,-0.00027434033,-9.986357e-05,-8.211054e-05,-9.6688214e-05,0.00021016833,-0.00069025543,0.00012592539,-0.00020738614
volume_sn_voxels::v889,0.00038821396,0.00017070043,-0.0005087954,-0.00011400419,-0.00023445193,5.2046256e-05,-0.00013307165,0.0001085766,7.859757e-05,-0.0008131739,-5.995402e-05,-0.00026327837
volume_sn_voxels::v890,0.0003180264,0.00013122217,-0.00059760973,3.120268e-05,-0.00021697875,0.00030273647,-1.2442091e-05,0.00020736284,-3.6742265e-05,-0.0009973574,-0.00024340875,-0.00039212743
volume_sn_voxels::v891,0.00022728487,2.6966836e-05,-0.0005416429,0.00030805997,-0.00021603827,0.0005852039,0.00031450804,0.00024212539,-1.4639016e-05,-0.001037534,-0.0002483945,-0.0005188173
volume_sn_voxels::v892,0.00011593824,-8.3623716e-05,-0.00038198038,0.00058760255,-0.00025470465,0.00076639,0.00080517394,0.00020166246,4.082492e-05,-0.00088985433,-0.0002102946,-0.00067538355
volume_sn_voxels::v893,4.9999617e-05,-0.0001778777,-0.00013458008,0.0007005103,-0.00021841555,0.00063286646,0.00106593,0.00015807952,0.0001066862,-0.00064115255,-6.7042085e-05,-0.00054354913
volume_sn_voxels::v894,0.0004991519,0.00040680604,-0.0002715301,-1.9592468e-05,-0.0002412127,-0.00037069322,9.493376e-06,-0.0004590651,0.0005948873,-0.00038025808,0.00057026785,-9.171319e-05
volume_sn_voxels::v895,0.00042966884,0.0003963676,-0.0004423814,-2.2188144e-05,-0.00030379274,-0.00041926812,-8.184776e-05,-0.00034704997,0.0003790373,-0.0005208772,0.0002928212,-0.00011314653
