0,1,2,3,4
0.9958538,1.336077,0.24626277,0.17852464,-0.05164804
1.1225809,1.4307308,-0.12203771,0.46944156,-0.23496565
1.0320196,1.4579253,0.3827497,0.51084113,-0.14175496
0.8091812,1.3325884,-0.5587152,0.801642,-0.055872943
0.77310467,0.98978686,0.056236256,0.23797596,0.44508186
0.88962555,1.1984642,-0.7017899,0.54148257,0.42764205
0.9406503,1.2261522,0.41509542,0.7614641,0.21215849
1.5773002,1.1382749,-0.17439772,1.0833316,0.17265543
0.3021286,0.6681991,0.3625593,1.3596468,0.74892694
0.11686312,0.6372053,0.462695,0.35913432,1.3714383
0.119576044,0.9654036,0.47509632,0.47179922,1.131634
0.09431505,0.5978194,-0.6535461,0.3995077,1.6941739
0.58340544,1.4262406,0.25002664,0.370528,0.47831985
0.48649117,-1.773109,0.49864534,0.35100618,1.1948434
0.30290103,0.96309197,0.62055266,0.23910515,1.3364526
0.6469241,1.4341402,0.36809242,0.60948414,0.09503408
0.5987843,1.3559498,-0.54316473,0.5466951,0.27449477
0.62283623,1.3277766,0.56401974,0.6850618,0.76435393
0.49155387,1.0662377,0.30467445,0.20599565,1.2946028
0.72740704,1.5212673,-0.47464523,1.0042542,-0.25112155
0.86285806,1.5971278,0.5920059,0.6369395,-0.19629246
0.85235924,1.4552511,0.14732881,0.6412647,0.22426233
0.15006453,1.6205643,-0.043519486,0.72767156,0.8930531
0.7046029,1.0264883,1.336743,0.3163578,0.98500186
1.0931867,1.4157467,0.19382735,0.4568583,-0.7505214
0.93995476,1.2965798,-0.22804105,0.58744764,-0.47539577
0.9377238,1.595681,1.6190066,0.58076143,-0.54923517
0.9794168,1.6611792,-0.3519653,0.5600374,-0.4516393
0.9302273,1.5203128,-0.36304462,0.57551813,-0.036242757
0.81172794,1.3436267,-1.4062991,0.5650359,0.3983133
1.1675835,1.1518726,0.022319822,0.48121166,-0.8513289
1.0764285,1.4416637,-1.8328781,0.56939715,-0.15650035
1.0890064,0.99998355,0.64205617,0.4809144,-0.6633967
1.0967656,1.625941,-0.12983136,0.6737676,-0.44761583
1.0316204,1.6115105,1.2715393,0.7306363,-0.33409536
0.9778733,1.4766653,-0.03406346,0.4621887,0.100775175
0.9666264,1.3450605,-0.3211021,0.6530049,0.19970082
1.105198,0.874033,0.20913804,0.43579292,-0.5500224
1.2549449,1.0420784,-1.5940657,0.19368996,-0.61834437
1.318295,1.4893568,-1.186324,0.9361263,-0.51761585
1.1559503,1.4395847,1.4199241,0.6402161,-0.49323744
1.089066,1.3669753,-0.32459572,0.39630777,-0.53102344
1.0298511,1.4690413,0.28004205,0.34709072,-0.13005473
1.6886433,1.4259351,-0.22621012,0.944569,-1.0241058
1.032322,1.5492201,-0.7247788,0.4822641,-0.23527925
0.9984115,0.58918107,-0.7150937,-0.27172667,0.02442066
1.1459293,0.98169404,0.14332722,-0.36286166,-0.12764807
1.485347,1.0469581,0.1698221,0.28807235,-0.46170655
