Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7
volume_sn_voxels::v13,0.0003588582912925631,-0.0006662756204605103,-0.00011158348934259266,0.00046900101006031036,0.0006400688434951007,-0.0002665340434759855,0.00030498788692057133,0.000513389939442277
volume_sn_voxels::v14,0.0003813421935774386,-0.0005715182051062584,3.955149441026151e-05,0.00046456261770799756,0.0006821801653131843,-0.0002518942055758089,0.00030050831264816225,0.0006909738294780254
volume_sn_voxels::v15,0.0004769869556184858,-0.0006070930976420641,0.00019502683426253498,0.0005048612365499139,0.0008272978011518717,-0.00032065011328086257,0.0004912702133879066,0.0009194796439260244
volume_sn_voxels::v16,0.0003575331356842071,-0.00023780993069522083,-0.00014968443429097533,0.0002989909262396395,0.0003044797049369663,0.0004338324652053416,0.00010596289939712733,-0.0007615514914505184
volume_sn_voxels::v17,0.00035087717697024345,-0.0003198958875145763,-0.00023348270042333752,0.0002817335189320147,0.00023789526312611997,0.00016965069517027587,0.00015668640844523907,-0.0006962894694879651
volume_sn_voxels::v18,0.00040108003304339945,-0.0005099726840853691,-0.0004004653892479837,0.0003015917318407446,0.00035851349821314216,4.2319421481806785e-05,0.0002485077711753547,-0.0006477724527940154
volume_sn_voxels::v19,0.0003635909524746239,-0.0006088507361710072,-0.00039505219319835305,0.00035242357989773154,0.00037580382195301354,-0.00015119666932150722,0.00019349021022208035,-0.00044368201633915305
volume_sn_voxels::v20,0.0003753819619305432,-0.0006930936360731721,-0.0003054600674659014,0.00042590510565787554,0.0005026060389354825,-0.00027145229978486896,0.00018550598178990185,-0.00013170122110750526
volume_sn_voxels::v21,0.0004546393465716392,-0.0007562317186966538,-0.0002689746906980872,0.00048444210551679134,0.0006648623966611922,-0.00029160515987314284,9.366167068947107e-05,0.00019646325381472707
volume_sn_voxels::v22,0.0004501536604948342,-0.0007674260996282101,-0.00012509299267549068,0.0005144455935806036,0.0007591742905788124,-0.0003099168825428933,4.7502529923804104e-05,0.00047745235497131944
volume_sn_voxels::v23,0.0004754792607855052,-0.0007319643045775592,-1.5344854546128772e-05,0.0005627444479614496,0.000885037356056273,-0.0002457162190694362,0.00011160199210280553,0.000692421686835587
volume_sn_voxels::v24,0.0005490171606652439,-0.0006608398398384452,0.00015831729979254305,0.0005479094106703997,0.000999334268271923,-0.0003033573448192328,0.00025992016890086234,0.0009798319078981876
volume_sn_voxels::v25,0.00038999482057988644,-0.0002542571455705911,-7.306215411517769e-05,0.0002013273915508762,0.0004575987986754626,0.0004689035122282803,-5.781376967206597e-05,-0.000981663353741169
volume_sn_voxels::v26,0.0004086787230335176,-0.00032796181039884686,-0.000211846869206056,0.00015409503248520195,0.00037590606370940804,0.0002100894635077566,2.544402377679944e-06,-0.0009930739179253578
volume_sn_voxels::v27,0.0004616527003236115,-0.0005261568585410714,-0.00032814795849844813,0.0002149576466763392,0.0003957789158448577,1.4298465430329088e-05,1.3301804756338242e-05,-0.0009258775971829891
volume_sn_voxels::v28,0.00039209696114994586,-0.0005925795994699001,-0.0003161410568282008,0.00026647280901670456,0.0004650467890314758,-0.00015590921975672245,3.480805389699526e-05,-0.0005968278856016695
volume_sn_voxels::v29,0.0004411093832459301,-0.0007004937506280839,-0.00026582134887576103,0.00039229303365573287,0.000607652182225138,-0.00024303802638314664,-1.1466458090581e-05,-0.0002665368956513703
