Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
volume_sn_voxels_feature_254,0.4250019,-0.7643182,0.6493802,0.16777755,0.69925505,-1.0159112,-0.055411104,-0.91653323,0.10867179,0.30095616,0.2545208,0.508957,0.9381207,1.4868116,0.59205997,0.556371,0.09924187,0.13364899,-0.6995703,-0.620765,0.2359187,1.2298398,0.8714952,0.44870394,-0.43701234,-0.1932383,-0.8681788,-0.67585725,0.1090243,0.6431743,0.16144828,0.14888608,-0.092128634,-0.21858725,-0.017013596,0.34455672,-0.5163606,-0.7943136,0.27994975,0.27589446,-0.599725,-1.5692642,-1.1777436,1.1344359,-0.023547258,0.2332824,1.1140008,0.12867829,0.50819415,-0.30796018
volume_sn_voxels_feature_255,0.44029224,-0.2561908,0.7312132,1.265579,-0.573547,0.88074666,1.0379248,-0.37735423,0.14365847,1.3605658,0.3486074,0.007919933,0.14682233,0.9761246,-0.48071036,0.89655733,-0.15670757,-0.7745901,-1.3478113,-1.005976,0.26062852,1.0554389,0.4375443,-0.27793318,-0.52716446,-0.40892577,-0.17454818,0.019730628,0.9032108,-0.017840914,1.3963815,-0.21199667,0.5232268,0.41260004,0.115003675,-0.16235405,0.20569399,0.6487282,-0.3541787,0.6413371,-0.9765211,-1.2132506,-0.36734098,1.6531664,0.36973807,0.5064762,0.6056771,0.3030499,0.24046873,0.09720629
volume_sn_voxels_feature_256,0.41058573,-0.59562266,0.5729465,-0.16778299,0.54380715,-0.6323876,-0.13336672,-0.85956514,-0.04859625,0.70563513,-0.19139509,0.68895864,0.90381795,1.5087277,0.024919352,0.47615117,-0.38615143,0.18834129,-0.16758409,-1.2969419,-0.045282237,0.8351925,0.28430507,0.8881964,-0.69106925,-0.36261505,-0.516898,-0.6205289,-0.43877807,0.27189198,1.2726994,-0.27132407,-0.6515885,0.010118214,-0.21655297,0.09899161,0.19910833,-0.18513407,0.2776918,-0.2103392,-1.2904621,-1.5008473,1.2523891,1.3733163,0.14044587,-0.009866658,0.28442207,0.08821273,0.47417274,-0.5633469
volume_sn_voxels_feature_257,0.05720472,-0.0836388,0.52060527,0.55379987,-0.15696187,0.77659535,0.019042442,-0.2526526,-0.10705092,1.2584013,-0.2156543,0.55346394,0.84391826,1.4567024,-0.23242961,0.5830918,-0.351198,0.11597307,-0.20133233,-1.060316,0.16487011,0.8456383,0.40311405,-0.037917707,0.019698841,-0.07526101,-0.25535035,-0.21936062,0.45109043,0.29325685,1.6505908,-0.2394155,-0.3545504,0.044029888,0.23484251,0.045665234,0.64999735,0.16380803,-0.006580862,-0.17472768,-0.96400696,-0.6437861,1.432292,1.963844,0.3688556,0.14530924,0.16553757,-0.16427453,0.19554953,0.2329313
volume_sn_voxels_feature_258,-0.1824724,-0.2214718,0.30927438,-0.51849675,-0.040549334,-0.41524276,-0.659741,-0.5958618,-0.089808606,0.14427963,-0.34016818,0.24624607,-0.3161137,2.0692258,0.3911034,-0.42143413,-0.16174327,0.0063474705,-0.30848154,-1.5845065,-0.26639557,-0.3242705,-0.74419665,1.1322461,0.18069516,0.2411704,0.13255188,-0.20800088,-0.11747345,-0.26806292,0.2939389,-0.36604047,-0.5489581,0.40100846,0.14980915,-0.61300623,1.2027032,-0.13839623,-0.17538394,-0.83331466,-1.1687907,-0.16022736,1.2594762,1.2015821,0.3607867,0.10471106,0.03136961,0.2628582,0.67075264,-0.73777395
volume_sn_voxels_feature_259,-0.0962509,0.2114511,0.15111072,-0.039431818,-0.25669357,0.16901773,0.25363618,-0.52404803,0.20446506,1.0342053,-0.2855748,-0.2168023,0.12424021,1.1700399,0.25442854,-0.06552842,-0.09360509,0.0765499,-0.0664227,-0.4371999,-0.11071085,0.20425509,-0.0013272244,0.63223386,0.32520488,-0.17545398,0.10597193,-0.12193252,-0.0117128305,0.096715145,1.629592,0.009844342,-0.020095624,0.28286073,-0.02392975,0.03215914,0.5761451,-0.56532663,0.16693969,-0.48735318,-1.3291833,-0.06413763,1.4640269,1.2696288,0.5186618,0.14294438,0.42936713,0.2666173,0.08303538,-0.018720176
volume_sn_voxels_feature_260,-0.8543252,0.058456816,0.18377109,0.32067272,0.023760144,0.4265172,0.16102862,-0.47717252,0.10402624,1.2755101,0.040907726,-0.1401457,0.13973102,1.6848537,0.49405104,0.16347462,-0.13766718,0.51560056,0.20224887,-1.2405846,0.12456112,0.6676751,-0.059673663,0.29646552,0.05233799,0.5358483,-0.9644451,-0.76999754,-0.046846163,0.15739965,0.9278548,0.60881805,0.34789315,0.18447948,0.40495667,0.27228948,0.030537592,-0.15660357,0.5813061,-0.28856888,-1.2851458,-0.2724436,2.024711,0.9601387,0.41856015,-0.64122695,0.90571886,0.6909303,0.0050476263,-0.5189383
volume_sn_voxels_feature_261,-1.3507088,-0.6674703,0.47723228,-0.16217248,0.70052266,0.8003646,-0.10322334,-0.78945243,-0.26170456,1.3085166,0.15633935,-0.12660216,-0.4748624,0.5467015,0.23617657,-0.52407736,-0.33306226,0.15770489,0.117772445,-1.6855444,-0.21607283,0.7410355,-0.7714799,-0.24795146,-0.13904904,1.4613608,-0.9947289,-1.0050218,-0.33936602,0.09961933,1.6456709,0.9211668,0.4722876,0.6759285,0.13593568,-0.37357846,-0.48310953,-0.12848149,0.94286346,0.27047986,0.31520668,-0.09610085,1.2853812,1.5301698,0.4517137,-1.2394712,0.687258,0.49744663,0.5529843,-0.72269785
volume_sn_voxels_feature_262,0.030518722,0.118963964,-0.22039887,-0.31080404,-0.30063817,0.2546139,0.3434564,0.33763692,0.93853563,-0.49303555,-0.12989399,-0.62519056,-0.117861524,1.4389405,0.21686545,-0.006956323,0.048975904,0.11486619,-0.51342404,-1.8027084,-0.08920762,0.045937046,-0.16357763,0.18330465,-0.07306379,-0.09161743,0.66769046,0.9235554,0.1356387,-0.25613034,0.43271905,-0.08272312,-0.14425834,-0.15036352,0.40892506,0.44843158,0.45473266,-0.26817098,0.58486134,-0.6403983,-1.2618252,-0.029623361,2.1808858,-0.82420254,0.30627298,0.120996594,0.58406866,0.72351176,0.2037544,-0.18133453
volume_sn_voxels_feature_263,-0.58939666,-0.19674571,0.34767973,-0.0204603,0.038150672,0.42244855,0.46993607,-0.5918045,1.0009755,1.4712025,0.43376508,0.061019856,0.16734377,-0.064658985,0.03905221,0.7115507,-0.6593308,0.7318214,0.1961776,-1.7676287,0.29157093,0.12849367,0.38783523,0.3040306,-0.2544455,0.9659884,-1.3496094,-1.6067991,-0.63298655,-0.041644517,1.3967193,-0.01323744,-0.45980185,0.18906273,-0.19763915,-0.33646536,-0.43060508,-0.42286798,0.34089777,-0.009006773,-0.36893275,-0.6252568,0.9160537,0.59505606,0.2018348,-1.323425,0.9260924,0.50368816,0.27200052,-0.73272544
volume_sn_voxels_feature_264,0.1197989,-0.19496581,-0.25258598,0.20882715,-0.02344154,0.6071856,0.52727073,-0.36353293,0.3288264,0.41163915,-0.24659726,0.17607343,0.27655786,-0.21067187,-0.07704014,0.21566926,-0.14072435,-0.11136633,-0.1722091,-1.278671,-0.18831536,-0.6454587,0.39625734,-0.25907904,-0.21922225,0.23651482,-1.2201954,-1.6818986,-0.3838119,-0.08418985,0.7610097,0.19521509,-0.46701998,0.12396864,-0.19761823,-0.5459601,0.21566115,-0.42147565,-0.20928034,-0.33465862,1.0553038,-0.20265718,-0.8165803,0.35632816,0.21389106,-0.363246,-0.83641964,0.26824015,-0.5421681,-0.31313148
volume_sn_voxels_feature_265,-0.21828735,0.033320654,-0.4534002,0.15624312,-0.29867142,0.28393528,-0.2023721,-0.7165724,-0.5969547,1.147421,-0.22758093,-0.28338832,-0.54528314,0.44558617,0.26826188,-0.14002271,-0.26514062,-0.8509255,-0.55635023,-1.7301509,-0.4315243,-1.1609371,0.499775,0.3917535,-0.5519705,0.6078757,-1.3928901,-0.5933583,0.037717614,-0.035220433,0.917771,-0.12980784,-0.40506524,-0.1344807,-0.1756124,-0.5074847,0.47748607,-0.67874026,-0.13181397,-0.7868096,1.217386,-0.06002952,-0.90349823,-0.14223586,0.5238143,0.1666199,-1.3505045,-0.25838098,1.0500414,0.020774482
volume_sn_voxels_feature_266,-0.15177424,0.40019447,-0.46101198,0.33825326,-0.093676716,0.19801773,0.15737298,0.27439618,0.2962439,-1.2956338,-0.7202751,0.2844375,-0.026541479,0.76724654,0.14406693,0.13259842,0.68374795,-0.31342,-0.014766229,-1.6896722,0.27607703,-0.05310337,0.01694229,-0.7708341,0.8530505,-0.3765468,0.17092118,-0.8942004,0.039128467,0.018084437,0.008606886,0.38077652,0.34148368,0.85163605,-0.04344074,0.05771007,0.19697903,0.71437603,-0.29260287,0.1338448,0.9246698,0.08960288,-0.8305468,0.5043109,-0.43774137,1.2089074,-1.4555007,-0.38617492,0.028988505,-0.0955708
