Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v42,0.0006700464,0.00028345897,-0.00012478045,-0.0012311852,-0.0014925508,-0.000119145516,0.00084163144,-0.0011898967,-0.00067363057,-0.0008833481,-0.0011217078,0.00058076537,-0.0005133235,-0.00043431987,0.00026766522,-0.0003683254,0.0005590294,0.0004946331,0.0022679197,0.00032105227,-0.0018223051,0.00029833644
volume_sn_voxels::v48,0.0005217746,0.0003048128,0.0002588415,-0.0010811929,-0.0010505292,0.00012577238,0.0010062142,-0.00085095054,-0.00060609024,-0.0005959496,-0.0007193897,0.0005102684,-0.001329397,-0.00036144702,-0.00037639245,9.575256e-05,0.00056791276,0.00070077286,0.0016407223,0.00010400814,-0.0013311134,0.00072106515
volume_sn_voxels::v49,0.0005746301,0.00040548373,7.444881e-05,-0.0010206281,-0.0014957649,0.00020355043,0.0006791067,-0.000890704,-0.00083687983,-0.00089757855,-0.0012998879,0.00051483174,-0.0009080821,-0.0004498751,-0.00017711273,-7.9883815e-05,0.00084668753,0.00054552587,0.0016428083,0.0002796347,-0.0010405033,0.0004439015
volume_sn_voxels::v54,0.00046701895,0.00045037,0.00027935693,-0.0007627274,-0.0012749849,0.00055000035,0.0012798718,-0.0003102409,-0.00088424375,-0.0013699195,-0.00088069803,0.00013930659,-0.0004992623,-0.00038655978,-0.0006353857,0.0003065236,0.0007422204,0.0006987011,0.001205239,-4.6567104e-05,-0.0009721561,9.8703604e-05
volume_sn_voxels::v55,0.0006358064,0.0004978842,0.00010058857,-0.0008091854,-0.0015031149,0.0009886301,0.00091300305,-0.0003295144,-0.00094497565,-0.0013000183,-0.0011302304,-5.386278e-05,0.00018238356,-0.00052213855,-0.00044215194,0.00013896346,0.0010068129,0.0005135383,0.0012982776,0.00011125326,-0.00058179925,-0.00039818665
volume_sn_voxels::v62,0.00024083641,0.00057059695,-0.0002076748,2.7771497e-05,-0.00075511873,0.0013695572,-7.115828e-05,-0.0017613197,0.00055150525,0.0005237247,-0.0014492241,0.0009573922,0.0014458913,0.00015929951,-0.00014445248,0.0012740026,-0.0015710671,-0.00093084614,-0.0014897834,-0.0004101035,0.00093602063,0.00033199068
volume_sn_voxels::v65,0.00033129827,0.0003789534,-0.0005004609,-8.821273e-05,-0.00068732945,0.0011731298,6.7675865e-05,-0.0018543013,0.00078937004,0.00020124977,-0.001728883,0.001517306,0.001567759,0.0005091787,0.00019295332,0.0007420634,-0.0013602922,-0.00038561478,-0.00086185645,-0.00082030584,0.0007359199,-0.0008389954
volume_sn_voxels::v66,0.00045038818,0.0005218904,-0.0003081901,-0.00013833832,-0.001081603,0.0015190677,6.617318e-05,-0.001916737,0.0012167984,-8.0646256e-05,-0.001607115,0.001715653,0.0020124419,0.00022145562,0.0002142724,0.0013579988,-0.0011588201,-0.0012150687,-0.0011643096,-0.0009868288,0.00058471464,-0.0002387339
volume_sn_voxels::v67,0.0005452696,0.000758037,-6.0367034e-05,4.570942e-05,-0.0012683222,0.0015689544,7.966031e-05,-0.002135752,0.0013473084,-0.00015111135,-0.00072380045,0.00095846015,0.0020976036,-0.00029259472,0.00031356348,0.0016299797,-0.0009053524,-0.0020644886,-0.0016718499,-0.00092937896,0.00084934634,0.0019098818
volume_sn_voxels::v69,0.00039240875,0.00020415313,-0.00065051287,-0.0003079403,-0.0009638684,0.0008101531,0.00010950505,-0.0018582541,0.0008210676,-0.00017924438,-0.0017809148,0.0016971872,0.0016371084,0.0005961631,0.00041376043,0.00035882485,-0.001034861,-3.0587e-05,-0.0001450945,-0.0011092499,0.00018695633,-0.0009894199
