Feature,Factor_1,Factor_6,Factor_7,Factor_8,Factor_16,Factor_28
volume_sn_voxels_feature_26,-0.35059309005737305,0.19424666464328766,0.4537980556488037,-0.7469271421432495,0.23018205165863037,-0.3578895330429077
volume_sn_voxels_feature_27,0.12360597401857376,-0.5818326473236084,-0.17859584093093872,0.7399906516075134,1.0734115839004517,0.3574449419975281
volume_sn_voxels_feature_28,-0.1634068638086319,-0.41892632842063904,-0.04914863035082817,0.5142971277236938,-0.022890528663992882,-0.24756206572055817
volume_sn_voxels_feature_29,-0.02487620711326599,-0.23671291768550873,-0.2627764642238617,0.4808387756347656,1.2023662328720093,0.0896855816245079
volume_sn_voxels_feature_30,0.16623391211032867,-0.44867756962776184,-0.1282411515712738,0.16355594992637634,0.6263943314552307,-0.08719301223754883
volume_sn_voxels_feature_31,0.15182067453861237,-0.2794410288333893,-0.3671553432941437,-0.13271087408065796,1.1170270442962646,-0.17429707944393158
volume_sn_voxels_feature_32,0.2976372539997101,-0.13020801544189453,-0.6446712613105774,-0.6734827756881714,1.2919080257415771,-0.018392683938145638
volume_sn_voxels_feature_33,-0.10817316174507141,-0.5929213166236877,-0.021335775032639503,0.43317875266075134,0.8717411160469055,-0.21147921681404114
volume_sn_voxels_feature_34,0.5369511246681213,-1.0993813276290894,-0.7295269966125488,-0.772300660610199,1.0074738264083862,0.4413158893585205
volume_sn_voxels_feature_35,0.2563594877719879,-0.9491354823112488,-0.5982698798179626,-0.3863644003868103,0.987858235836029,0.3412829637527466
volume_sn_voxels_feature_36,-0.012500966899096966,-0.396077424287796,0.5863086581230164,-0.1582174152135849,-0.5040503144264221,0.179118350148201
volume_sn_voxels_feature_37,0.512668788433075,-0.6321297883987427,0.5205894112586975,-0.24074530601501465,0.7411885261535645,0.34935304522514343
volume_sn_voxels_feature_38,0.283363401889801,0.3037765622138977,-0.38864588737487793,-0.6137642860412598,1.0604747533798218,-0.19101576507091522
volume_sn_voxels_feature_39,0.25220343470573425,0.3545680046081543,-0.20710919797420502,-0.373184472322464,0.05081355571746826,-0.0429757758975029
volume_sn_voxels_feature_40,0.048289954662323,0.4246789515018463,0.19875751435756683,-0.25920048356056213,-0.36598801612854004,0.10350462794303894
volume_sn_voxels_feature_41,0.04646175727248192,0.37382957339286804,0.2194528430700302,-0.20872685313224792,-0.08035459369421005,0.2613466680049896
volume_sn_voxels_feature_42,0.3024086654186249,0.2345866560935974,0.34330618381500244,-0.2788653075695038,0.7442560791969299,0.3502207398414612
volume_sn_voxels_feature_43,0.5638592839241028,-0.14920011162757874,0.3164701759815216,-1.2121649980545044,-0.03775632381439209,-1.346915602684021
volume_sn_voxels_feature_44,-0.6925263404846191,0.3538425862789154,-0.40399274230003357,-0.4225101172924042,-1.044194221496582,-1.0988900661468506
volume_sn_voxels_feature_45,-0.4551711976528168,-0.1652289181947708,-0.12864111363887787,0.5673553347587585,0.7731576561927795,-0.6380453109741211
volume_sn_voxels_feature_46,-0.13389785587787628,-0.7272381782531738,-0.7170343995094299,-0.0032748105004429817,0.8767736554145813,-0.08706521987915039
volume_sn_voxels_feature_47,-0.2818833291530609,-0.21251976490020752,0.13663649559020996,0.5325790643692017,1.2123314142227173,-0.29254719614982605
volume_sn_voxels_feature_48,0.056298404932022095,-0.8624926209449768,0.16932058334350586,-0.23598800599575043,-0.5602120757102966,0.19586142897605896
volume_sn_voxels_feature_49,-0.4905651807785034,-0.049441199749708176,-0.7921335101127625,-0.25753483176231384,0.709486186504364,-0.0663999691605568
volume_sn_voxels_feature_50,-0.09969566017389297,-0.20931680500507355,0.16796696186065674,0.07202804833650589,1.3101085424423218,-0.4662606716156006
volume_sn_voxels_feature_51,0.07060573250055313,0.1105809286236763,0.19796913862228394,0.09332098066806793,0.5334088206291199,-0.21230877935886383
volume_sn_voxels_feature_52,0.10682600736618042,0.017822572961449623,0.14442409574985504,0.11188843846321106,-0.5585952401161194,0.10303269326686859
volume_sn_voxels_feature_53,-0.06732727587223053,-0.7004429697990417,0.025746474042534828,-0.07532630115747452,0.6620264053344727,-0.10361380875110626
volume_sn_voxels_feature_54,-0.024013279005885124,0.29119062423706055,-0.17484624683856964,-0.18790104985237122,0.9283097386360168,-0.05722042918205261
volume_sn_voxels_feature_55,-0.08826743811368942,0.4507049024105072,-0.07194632291793823,0.09890314191579819,-0.2739441692829132,-0.04325316101312637
volume_sn_voxels_feature_56,-0.056592684239149094,0.3054424226284027,0.1975611448287964,0.18857580423355103,-0.46634045243263245,0.06713297963142395
volume_sn_voxels_feature_57,-0.03437851741909981,-0.05045436695218086,0.23014722764492035,0.1678876429796219,-0.22875110805034637,0.15782281756401062
volume_sn_voxels_feature_58,-0.05767890810966492,-0.27765417098999023,0.4679906666278839,0.12788686156272888,0.31802305579185486,-0.1746515929698944
volume_sn_voxels_feature_59,-0.3608129024505615,0.06428832560777664,0.388151615858078,-0.0914192795753479,0.9348798394203186,0.08979964256286621
volume_sn_voxels_feature_60,-0.06615007668733597,0.5921618938446045,-0.6082304120063782,-0.020274927839636803,0.20009945333003998,-0.18968398869037628
volume_sn_voxels_feature_61,-0.13247156143188477,0.5134134292602539,-0.5659021139144897,-0.0853143110871315,-0.26319706439971924,-0.07324212789535522
volume_sn_voxels_feature_62,-0.3395523130893707,0.3376557528972626,-0.2694410979747772,0.26358988881111145,0.1479722112417221,-0.015525947324931622
volume_sn_voxels_feature_63,-0.13726399838924408,0.33791908621788025,0.0866742953658104,-0.028109600767493248,0.7590988278388977,-0.01878214254975319
