Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_15,0.76037985,-0.07862692,-0.91530347,-0.7581388,-1.1260816,-0.98200935,-1.634769,-0.6519533,0.5857508,-1.027231,1.25613,2.072309,-0.36432096,1.0674449,-1.0751921,-0.9486621,-1.1686088,0.7333231,1.2335445,1.0315641
Subject_16,-0.84633416,-0.58116925,0.6014341,1.1924123,0.558478,0.9653691,-0.350016,-0.80188006,-0.72753835,-0.630019,0.69693416,-0.6746727,0.8290241,-0.8864384,-0.14657804,-0.73185897,0.3784232,0.43350205,1.3207968,0.3972436
Subject_17,-0.6922661,-0.6103591,2.0957413,0.62776744,0.9246612,1.3395764,0.6819222,-1.3377006,-0.78049326,1.9059873,-0.7906913,-0.48763657,0.9908743,-1.1774597,-0.0976837,0.99355143,0.8196838,-1.0229331,-0.90130836,-0.6847247
Subject_18,0.50477785,0.66981274,1.2754757,1.3488327,-0.60957754,0.06286394,0.8188909,1.3856258,0.33956775,0.4451955,0.57821697,-0.14809616,0.4844743,0.087989755,-0.57906246,-0.41050908,0.27590123,0.9954625,0.40413368,0.7672413
Subject_19,0.94592637,-1.5275964,-1.0443072,-0.7697939,-1.1610696,-0.85444677,-0.56895274,0.6276492,-0.69831276,0.2197258,0.79688025,0.5606682,1.0781991,1.5345004,0.6784433,-1.2305437,-2.065902,0.22870961,0.95405066,-0.4412972
Subject_20,0.8773588,0.56144255,0.81295264,1.1977572,-0.21498261,-0.24925041,-0.45157954,-0.019681232,0.55782104,-0.06927262,0.68380594,-0.45606405,1.0499787,0.81395984,1.1985826,-0.6015457,0.30648452,1.1950911,-0.39248818,-0.054922897
Subject_21,-1.080175,-0.475256,0.34884423,-0.75751287,0.4065352,1.0266016,1.2600033,0.55986637,-0.93782187,0.7547424,0.4952515,-0.8690525,0.16972399,-1.223751,1.3573194,0.4155165,1.4140568,-1.5918788,-1.0056003,-0.66637665
Subject_22,0.5306735,1.0529387,1.3051037,1.3475118,-0.15669778,1.2976193,0.24630961,-0.6252426,-0.2770775,-0.8982869,0.4668837,-0.89643806,-0.41609246,0.42279735,0.51286346,1.0570399,1.2133353,0.65289634,-0.6917442,0.691291
Subject_23,0.32632446,-1.4795489,-0.38322294,0.9343904,-0.16280137,-0.74945235,0.73928785,0.5934328,-0.5554664,0.58130556,-0.40296587,0.87226695,0.79725546,-0.96342456,0.8231904,-1.0277152,0.20564748,-0.48085955,-0.5678843,-0.3371969
Subject_24,0.8022423,0.011727264,0.76410836,0.5887652,-0.7994015,0.25433362,1.2682253,-0.8379576,0.97283787,-0.58177,0.18270577,-0.18464221,1.6069676,0.051686313,1.3325015,0.66200745,0.661291,0.914977,-0.59511465,0.25758
Subject_25,0.99540895,-0.7072864,1.5314277,-0.65364766,-0.17605683,1.223311,1.0235473,0.37694296,-0.92162085,1.8249488,-0.18718222,-1.1108638,-1.0747875,-1.1148578,-0.38513887,1.546086,-0.8254773,-0.86485845,-0.8090446,-0.9256074
Subject_26,0.41033924,0.49180117,0.7720769,0.2119227,0.7535399,1.018644,0.7647165,-0.709294,-0.8428429,0.29938042,-0.30966908,0.92181206,0.6148919,-0.800455,-1.9851271,1.0784063,1.1887516,-0.39675486,-0.27465576,0.14491801
Subject_27,1.0381044,-0.3556423,0.21737158,-0.8832095,-0.6209979,-1.1378566,0.49176592,-0.48808318,1.2291236,-0.17389894,-0.13054194,0.7839181,0.3419621,0.037797686,0.5586487,-0.37128612,-0.24128655,-0.7069675,0.3176487,0.7838034
Subject_28,-1.2737185,0.71946293,0.76679903,-0.76423335,1.0918735,1.4057385,0.19136588,1.1470934,-0.5487982,0.5755951,-0.8500619,-1.024978,0.4104183,-0.8573933,1.3710226,0.21726628,1.6008015,1.0374336,-1.1591792,0.5240263
Subject_29,-0.27631688,1.1881,-1.0507095,-0.5512942,0.16914219,-1.4348965,-0.92083895,-0.9167744,1.4185091,0.46333197,1.0057358,0.13942769,0.48860428,0.1276693,0.6036841,-0.74828756,0.35292906,-0.018887982,0.10273305,-0.814052
Subject_30,0.536124,-0.61365694,1.6855648,0.56884706,0.77787054,1.0913005,0.23283249,-0.80425483,-0.5439964,1.1548231,0.69092613,-0.7205942,0.57451123,-0.611402,-1.0948861,0.85341245,0.6749734,-0.49258524,0.7279401,-0.6423745
Subject_31,-0.51567745,-1.2394845,-1.3292041,-0.78815967,-2.43103,-0.45824817,-1.3476467,-0.5959711,-0.19936778,-0.4033203,2.3736985,-0.3167683,0.739046,0.7177482,0.42948276,-0.24939317,-1.2490953,-1.0746398,1.4530377,-1.003754
Subject_32,-1.1829611,-0.39688784,1.0919974,0.66250193,0.7305997,0.6033481,0.4455536,1.2595267,-0.25060838,1.1346288,-0.5944192,1.1361504,-1.3029779,-1.1621516,0.6782641,0.7695493,0.58036363,-0.9639928,-1.004892,-1.3020971
Subject_33,-0.84992164,-0.5558799,1.7053242,-0.0484977,1.7588466,1.2861488,0.9562219,-0.82611424,-0.57735443,-0.9171008,-0.88013494,-0.32079414,-0.7232099,-1.8710797,-1.4900888,0.8741607,2.0955913,-0.17096077,-1.638054,0.6465882
Subject_34,-0.834114,0.5750879,-0.8334562,0.5605926,-0.5737497,-0.6234239,-0.8123902,-1.3945827,1.323408,-1.3056806,-0.17334229,0.80306387,1.2995209,-0.37266544,-0.20858172,-0.722112,-0.59166455,-1.1804923,0.89727,-0.5154201
Subject_35,-0.21077004,-0.7841195,0.7813612,0.66212994,-1.3991147,0.77026814,1.2373488,-0.7510694,-0.39481655,-1.5331205,-0.767442,0.40141115,-0.7917062,1.4899594,0.5573307,-0.2112435,0.56019413,0.6787922,-0.58443904,0.7044863
Subject_36,0.40917587,0.9039668,-0.7707865,0.6169292,0.33911356,-0.02777727,-0.5455898,-0.8969338,-0.29385918,-1.1145122,-0.6167012,0.84605896,0.680669,0.011339087,-0.68776286,0.9625527,0.50428665,-0.9554815,-0.56338793,0.7005592
Subject_37,1.0110779,0.494212,0.07431416,-0.13823064,0.27223808,0.3999725,1.5466392,-1.5313613,-1.0202312,-0.53379357,-0.64835936,-0.26173964,-1.4309697,0.46368387,-1.1808046,-1.5993117,-2.0046027,1.0750676,-0.066399924,0.68131375
Subject_38,1.1519568,1.3807738,0.46379766,0.6561832,-1.0062091,-1.7503027,-1.2868418,0.58764267,-0.48152322,0.6688486,0.815324,0.4231679,-0.99489313,1.088607,-0.92535347,-1.358288,-0.8958427,-0.95279694,1.4461266,-1.3558598
Subject_39,-1.3274211,-0.71252656,0.63047314,-0.87443006,0.190087,1.8246449,0.76232636,0.69727117,-0.9133289,0.84302324,-0.33580586,-0.2522076,-0.17857125,0.17986755,1.0326347,0.758249,1.0746154,0.6456749,-0.8379493,-0.5223537
Subject_40,0.81351286,-0.3279377,-0.031419214,0.26955664,0.7297099,-0.44275066,0.89110017,0.5608138,0.4648456,0.5493313,-0.32437474,0.12858681,-0.58185774,-0.80095077,-0.33994046,-0.27108598,-0.39597005,0.10406741,-0.79920536,0.78140026
Subject_41,0.7038382,-0.7074942,-0.87542915,0.42488334,0.59632295,-0.5709563,-0.95878553,0.7023563,-0.8273826,0.12350869,1.0108654,0.21313167,0.4334082,0.334177,0.5287206,-0.5060104,-1.5909247,1.3922132,2.2378914,-1.0844033
Subject_42,-0.010137297,0.44878083,0.88780075,-0.25802237,0.59456706,-0.71210456,-1.7848495,-0.83840996,1.1833651,-0.4757288,0.548688,1.8689985,0.33076465,0.1510866,-1.4411625,-0.09700273,-0.6449408,-0.121684104,0.46104634,0.9371915
Subject_43,-1.0611124,-0.96123046,0.591471,-0.30094698,-1.2646935,0.6534411,-0.18620098,0.5234517,-0.7624648,-1.2215831,1.5857027,-0.22648256,-0.09538837,-1.2185869,0.24269406,0.09418255,0.65083873,0.5883865,-0.27972153,1.3288985
Subject_44,0.4842284,-1.0088763,-1.3006341,-0.51818293,-1.2712148,-1.0653719,-0.987153,0.7220119,2.217866,0.7280838,0.39719817,1.5521048,-0.5999813,0.83190703,-1.4899753,-0.2373099,-1.6047802,-0.9808001,0.42222992,0.413487
Subject_45,1.3189762,-0.95157695,-1.1534013,1.104741,0.23396826,-0.13641387,0.88223076,0.5879547,0.7429648,-0.9151806,-0.6043368,-0.87371695,0.75333923,-0.5748239,-0.8631205,-0.91053516,0.5132691,-0.18746088,-0.167485,0.24646185
Subject_46,0.40887856,-0.0020140503,0.13551706,-0.8998447,-0.9464486,-0.050388563,0.8181535,-0.90707666,0.878582,-1.2380486,-1.2812992,0.7758616,-0.4025271,1.8598572,0.91382265,0.34948757,0.34896168,-0.39844373,-0.9562525,1.6227846
Subject_47,-0.49144486,-0.99995965,0.29365927,-0.2960189,0.43902016,-0.31152856,0.33288676,0.76929146,-0.33247244,-0.47495073,-1.4632685,-0.40302712,-0.41071314,-0.09394938,0.71961266,0.43571815,-1.0691417,0.6523168,0.63653296,0.3176666
Subject_48,0.84003377,1.1253724,1.6465,1.2757518,0.39684036,-0.64847094,-1.028867,-0.9271027,0.87438124,0.9439404,-0.10901567,0.34762368,0.18628468,-0.056616895,0.3888471,-0.08230186,-0.58100367,1.0224805,-0.5970656,0.98044646
Subject_49,0.635666,0.6964514,-0.60658336,0.2726957,-0.4737517,-0.36188677,-1.0024039,-0.78383726,1.0310874,-0.0005323803,0.83126616,0.1970393,1.0220321,1.114835,0.4525715,-1.7371832,-0.9973255,0.47520208,0.4977661,0.32636836
Subject_50,-0.98132116,0.32208163,1.044774,-0.841375,-0.2806317,1.169042,1.0493932,1.0920682,-1.2170001,0.8540168,-0.87589276,-0.6105801,-0.68150455,-1.1359457,0.84146404,1.2246586,1.0108145,-0.5364973,-0.8029715,-1.3214998
Subject_51,-1.2749256,-0.8289538,0.07354224,-0.83270425,-0.38084877,0.85043085,-0.6549639,0.69775987,-0.5673741,-0.69975084,-0.27958173,0.95401543,-0.7744135,-1.118061,-0.6696456,1.2499882,0.9930452,-0.23757201,-1.0354207,0.51868165
Subject_52,-1.3274953,0.64433926,1.2417092,1.0103934,0.2736434,0.83628726,0.6839734,0.8838535,-1.0801818,0.44921595,0.6646898,-0.6609291,-0.21902348,-1.5497723,-0.7648677,0.61513567,1.1119623,-0.9080742,-0.11677606,-0.7586168
Subject_53,-0.08000476,0.59123766,-1.5349362,1.17438,-1.088427,-0.9157322,1.0594193,0.5230514,1.43594,1.1005836,1.0334017,1.0444022,0.8923291,0.4691628,0.6115018,0.2770586,-0.12675688,-0.41460678,0.90159,0.10164848
Subject_54,1.6164318,-0.61922115,-0.9775002,0.9025258,1.631046,-0.82674736,0.94521797,0.41123676,0.15472257,-1.410415,-0.7823376,-0.30698496,0.38636634,1.0457917,1.1655666,-1.7141215,-0.6950046,1.7039304,-0.21490303,1.533648
Subject_55,-0.8648693,-0.09737638,0.65475595,-0.9098029,-0.60603046,-0.14395463,0.041782178,0.792617,-0.37637582,0.81374305,-0.4983202,-0.62465,1.3263358,0.3362081,1.1898773,-0.31760415,-0.23743051,-0.52419704,-0.23426384,-1.1462797
Subject_56,-0.3679598,-1.188796,0.008288815,-1.0167216,-1.2083343,1.6368465,0.42061785,-1.0439206,-0.6872124,0.5588661,1.1600722,-1.2774578,-0.90504175,0.013709951,-0.020537164,0.15234748,-0.6017002,-0.32245293,1.727115,0.42360345
Subject_57,-0.46050107,-0.9270274,-0.4935967,-0.5407361,-0.9102049,0.03661231,-0.6638946,-0.24335615,-0.4709495,-0.8799031,1.3440056,-0.4245431,0.3952596,1.9105843,-0.20714892,-1.3633184,-1.1917672,-0.75807935,1.4889154,0.92962205
Subject_58,0.72513413,-0.03043891,-0.9581334,-0.21264635,0.8752053,-2.6310995,0.60766554,-0.076812685,0.5803375,-0.8040671,-0.6480794,1.7412615,0.061380852,0.09970759,1.2077745,-1.8871468,-1.0698693,0.9103132,-0.20081516,0.718447
Subject_59,-0.09294311,0.5883575,-1.6711102,-0.3105845,0.9595207,1.3258042,-0.23287854,0.5550908,-0.59411454,-0.73265755,-0.8296119,-0.5400452,-1.6041092,0.79782563,1.0394443,-0.7170756,-0.51233935,-1.3667425,0.89683574,-0.25157157
Subject_60,0.57360816,0.6137829,-0.48767197,-1.4664253,1.442537,-0.47060415,-0.52126974,1.6948383,-1.1452684,-0.22902636,-1.7570386,-0.1485549,-1.7541006,-0.424637,-0.12007723,-0.1697589,0.3851921,-0.22141445,-0.83896357,0.6251116
Subject_61,-0.55062675,1.2507607,0.54553,1.346278,1.0790975,-0.3896874,0.5403992,0.5802938,0.70834374,0.3417793,-1.4962949,-0.24388035,0.72148174,-1.1174191,0.36018124,0.7751916,0.9501147,-0.86050886,-0.45562822,-1.0172755
Subject_62,0.52635205,0.61472416,1.1824949,1.9541118,1.159378,-1.5263035,1.204402,-0.5206992,-0.2612113,-1.3123486,-1.1567098,1.5329269,0.99314547,-0.91725516,1.0992618,-1.1132413,1.1935091,-1.3201728,-1.0031031,0.37075946
Subject_63,-0.5654407,1.1759175,-0.6433277,0.7860791,-0.6364477,-1.1055034,-2.3303297,-1.1653788,1.2561644,-0.85981894,1.9091669,2.2749217,0.678851,2.3306348,1.9142343,-1.4978557,-1.3790193,0.5262035,1.2624375,1.3981578
Subject_64,-0.97747976,-1.2091618,1.1505755,1.1839601,-0.3451651,-0.78520787,0.54502696,-1.3411903,0.91672575,1.5993488,-0.059444383,1.209436,-0.97418416,-0.5678744,0.37425628,0.6642246,1.0514281,-0.6764285,-1.1251488,-0.3244174
Subject_65,-0.7933627,-0.8134006,-0.54216087,-0.9646146,-0.33733106,0.72760636,-0.65367025,-0.7224598,2.0369945,-0.9223896,-0.93399024,0.9204107,0.490489,-0.3515365,0.7932308,1.6099625,-0.23780793,-1.6125836,0.3276035,1.198651
Subject_66,-0.6641451,1.4906205,0.8264363,-1.9513503,-1.8426588,0.305636,-1.3944613,-0.7001866,1.6585461,0.15472695,1.0485065,0.20102863,-0.77200896,0.96417964,-1.0444783,-0.9438783,-0.78127235,0.35012496,0.77246547,-0.6217783
Subject_67,0.2698798,-0.5089757,2.0497112,0.33979452,1.7323066,1.0823598,1.3721474,1.0622841,1.2759942,0.8431616,-0.8746073,-1.4734708,0.60472023,-1.2954162,0.8526295,1.467786,1.8613313,0.8387756,-0.96908844,0.63718235
Subject_68,-1.0080136,0.21744585,0.6705943,-0.33063734,1.0958396,1.0349609,0.86973417,0.92134625,-1.0231549,1.2468275,-0.4126281,-1.3117181,0.12989227,-0.8540205,-0.24896948,0.8872546,0.9561991,-1.1604205,-0.7660715,-1.2135617
Subject_69,0.23324624,0.46849754,-1.0663666,-1.1992265,-1.1841284,0.28102168,-0.73192227,-0.66555715,1.0854468,-0.6099409,1.1275402,0.49053672,0.5000096,0.6250895,0.782012,-0.7147466,-0.99962616,-0.8985299,1.0964347,-0.5879696
Subject_70,-0.3521528,0.37283328,-0.67869836,0.16093211,-0.43692854,-0.89705086,-1.7000415,-1.2080965,0.5798429,-1.7047621,0.030820245,0.7225604,1.7645763,0.6024541,-0.73240685,1.1205876,-0.7799596,-0.8044343,0.26207593,0.77432984
Subject_71,1.6884476,0.7882342,-1.4370184,-1.2196786,-0.67548776,0.1104162,-1.4786637,-1.3489863,0.4885244,1.2459841,1.1348306,-0.1320976,-1.2942154,-0.47437927,1.4683651,-1.1473657,0.26908758,0.6740337,0.28858182,-0.5962079
Subject_72,-0.11262457,-0.41450828,0.4448621,0.898165,-0.08044465,0.27435952,0.5332829,0.44399998,-0.34629837,-0.8607845,-0.12083529,-0.36791006,-0.8705152,-0.5701814,0.6092118,-0.51189196,0.6418342,-0.9039959,0.068126,-0.7055617
Subject_73,-1.3919576,-0.7160264,-0.87620914,-0.2569635,0.23418383,0.5621762,-0.6027595,0.57976043,-0.48091003,-0.59484303,-1.19587,1.0962294,-0.635808,-0.7837161,-1.5457643,-1.2159898,-0.23904455,-0.58124286,-0.78559804,0.37619022
Subject_74,-0.7097535,0.30004966,0.80512255,-1.0542873,-0.70784825,0.9476447,0.71103394,0.8390499,0.74906814,0.16075785,0.44733962,-0.020334298,-1.2893854,-1.0189251,0.26678807,0.5931279,0.1980261,0.041093204,0.30655557,-1.2403449
Subject_75,0.14596575,0.73928416,-0.31715947,1.1880924,0.529005,0.298493,1.2367492,0.79899293,0.7685739,-1.5104493,-1.2766069,1.1994662,-0.7522582,1.8274808,0.124030136,-0.6884858,-0.3850788,0.99666196,-0.7867474,0.714327
Subject_76,1.2286234,0.31477472,-0.9462804,-0.8028562,-1.2851381,-1.5815339,1.287758,0.46840873,0.83518183,0.8630286,0.4573974,1.2254196,0.65525985,1.0123116,-0.8147521,-1.5570755,-1.2379986,-0.061726317,0.7481546,-0.76409817
Subject_77,-0.03171858,-0.4556303,-0.7630279,0.56937265,0.15752941,0.14549737,-0.45943457,-0.2179914,-0.77695286,-0.8848191,1.1623752,-0.5798999,0.5120986,0.7750148,-0.93209636,0.35598966,-0.9847045,-1.0738274,0.9396529,-1.2236196
Subject_78,-1.1199336,-1.2382681,1.696323,1.8428935,1.8958925,1.7562443,0.78640777,1.1230638,-0.21845451,2.1109178,-2.4994397,-1.9144319,-0.6874352,-1.5465478,-1.8422705,1.4036688,1.4246781,3.2591374,-2.2228663,-1.4242905
Subject_79,-0.73164797,0.18037806,-1.0455912,1.067336,-2.1640508,0.6020927,-2.006469,-0.778391,1.0236478,-2.0041633,0.83077115,1.3461921,0.5825725,0.2409632,-0.8587066,1.7256591,-1.1928053,-0.7867512,1.250244,-0.32364932
Subject_80,0.46020064,-0.35200283,-1.4050602,0.93371344,1.1189619,-0.8453541,-0.8387445,1.1099986,-0.38883948,-1.1262765,0.35379383,0.2920996,0.51153487,0.45677695,0.4588247,0.33217928,-1.5140566,-1.0943437,1.2401706,-0.7269566
Subject_81,-0.8292902,-0.4045494,2.3082733,0.7025827,1.1876551,-0.4432534,0.8253274,1.0250449,-0.60190094,0.56342745,-0.51827335,-1.0387801,0.105810665,-1.6760113,0.7325056,0.48957694,1.6127906,-0.64673555,-0.8817857,-0.7225625
Subject_82,-0.82975566,0.45458525,2.2138858,0.45378622,1.1550205,1.7804757,1.0474285,0.9679492,-0.7137401,0.9128781,-0.6171505,-0.65137655,-0.39539048,-1.0202342,0.5623428,1.1349877,0.8913148,-0.38964134,-0.6095668,0.77021503
Subject_83,1.3240246,0.7922385,-1.2724873,0.5621489,0.09001711,1.3613065,-0.6578911,-0.034027953,-0.9174287,0.26269302,0.24153617,-0.28644356,-0.04730031,1.1722467,0.1253151,1.1529908,-0.59604645,-0.8988202,0.45197982,-1.1578611
Subject_84,-0.9095698,1.1809937,-0.22249232,1.2091424,-0.68805504,-1.5877849,-2.373102,0.5422803,0.52679557,-0.7889787,1.6342163,-0.128802,1.0596455,0.26731586,-0.47510266,-0.48401064,-0.22118954,-1.1853822,1.2977729,-1.0128603
Subject_85,1.2654687,-1.6993393,-0.16629787,1.2857056,-0.5365802,0.6240848,1.0412177,-0.26465815,-0.023126459,-0.013993008,-1.2264773,-1.0822345,-0.66165566,-0.6177445,0.040624388,-0.6256391,0.51410264,0.33117297,-0.5181626,0.21425016
