Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v10,0.0003041967283934355,-0.0005424839328043163,-0.0003006879414897412,0.00038670687354169786,0.0002405209670541808,-0.0001269522326765582,0.00042648566886782646,-0.00013761618174612522,-0.0006715971394442022,-0.00037743544089607894,-0.00023031416640151292,-0.0019166655838489532,-0.0007009011460468173,0.0006496378337033093,0.0002836172643583268,-0.00030397315276786685,0.0005003306432627141,0.0003949318779632449,-0.0007872575079090893,-0.0014858790673315525
volume_sn_voxels::v11,0.000295714708045125,-0.0005646056961268187,-0.00027221947675570846,0.0004079280770383775,0.000311566807795316,-0.0002003611734835431,0.0004436991293914616,4.093454481335357e-05,-0.0007067036931402981,-0.00036155746784061193,-0.0002430050226394087,-0.00177057518158108,-0.0006259040092118084,0.0007050054846331477,0.0003851625369861722,-0.000247305171797052,0.00021045876201242208,-1.1631917004706338e-05,-0.0005786583060398698,-0.0011560387210920453
volume_sn_voxels::v12,0.0003662170493043959,-0.0007159222150221467,-0.00022601110686082393,0.0004860355402342975,0.000532204401679337,-0.00028658087830990553,0.00036872236523777246,0.0003386956232134253,-0.0007681703427806497,-0.0002984402235597372,-0.0002093525545205921,-0.0016730574425309896,-0.0006073787808418274,0.0008533564396202564,0.000454339780844748,-0.0003926740901079029,-4.279188215150498e-05,-0.00041970654274336994,-0.0004105748957954347,-0.0011010798625648022
volume_sn_voxels::v13,0.00038739823503419757,-0.000674719805829227,-0.00012929638614878058,0.0005105439340695739,0.0006524355849251151,-0.0003010955115314573,0.00032075578928925097,0.0005838724318891764,-0.0007629776373505592,-0.00018776694196276367,-7.47217345633544e-05,-0.0011380657088011503,-0.0004463087534531951,0.0008150802459567785,0.0002665560459718108,-0.0004154628259129822,-0.00014825088146608323,-0.0006405931781046093,-0.00020787963876500726,-0.0008498685201629996
volume_sn_voxels::v14,0.00042032694909721613,-0.0006321932887658477,1.9007806258741766e-05,0.0005008631851524115,0.0007255111704580486,-0.0002653869451023638,0.0003263173275627196,0.0007405201904475689,-0.000722384313121438,-0.00019552931189537048,7.089668361004442e-05,-0.0007125331903807819,-0.0002542680886108428,0.0007731055375188589,6.421773832698818e-07,-0.00028983186348341405,-0.00015042231825646013,-0.0007283405284397304,-0.00016473428695462644,-0.0006605845410376787
volume_sn_voxels::v15,0.0005208974471315742,-0.0006327674491330981,0.00020426296396180987,0.0005201069288887084,0.0008411402814090252,-0.00034054467687383294,0.0004992109606973827,0.0010051432764157653,-0.0008098001126199961,-0.00021849748736713082,0.00018279660434927791,-8.819061622489244e-05,2.6369045372121036e-05,0.0006912807002663612,-0.000446999300038442,-0.00021126969659235328,5.6847460655262694e-05,-0.0008080877596512437,-0.00033165814238600433,-0.0006044543697498739
volume_sn_voxels::v16,0.0003718897351063788,-0.00020370680431369692,-0.00016642296395730227,0.00029949593590572476,0.00033373551559634507,0.00046478791045956314,0.0001570531603647396,-0.000821746070869267,-0.0006953850388526917,0.00014975780504755676,0.00013147846038918942,-0.0009523925837129354,-0.00036717267357744277,-8.402194907830562e-06,0.0004962364910170436,-0.0007481664652004838,0.0005163992755115032,0.0006000502035021782,-0.000713669927790761,-0.0012305604759603739
volume_sn_voxels::v17,0.0003518376324791461,-0.000315379147650674,-0.00029223121237009764,0.0002553467347752303,0.00028070792905054986,0.000234759776503779,0.0001894997403724119,-0.0006783399730920792,-0.0005641701282002032,-6.10545466770418e-05,1.1505304428283125e-05,-0.0012900453293696046,-0.00044609932228922844,0.0003084217896685004,0.0002533860970288515,-0.0007364066550508142,0.0005955704255029559,0.000926709733903408,-0.001141464221291244,-0.0014395860489457846
volume_sn_voxels::v18,0.0004131056193728,-0.0005493985372595489,-0.00038135633803904057,0.00035587436286732554,0.00033306877594441175,3.646476397989318e-05,0.00021661903883796185,-0.0007174258935265243,-0.0007001550402492285,-0.00020330042752902955,-0.00024316521012224257,-0.0018718673381954432,-0.0005624504410661757,0.0005996283143758774,0.0001637633831705898,-0.0006130508845672011,0.000500681868288666,0.0010997188510373235,-0.0014033381594344974,-0.0017931567272171378
volume_sn_voxels::v19,0.00037477686419151723,-0.0005980348214507103,-0.0003813641669694334,0.00036904524313285947,0.00040273828199133277,-0.0001664286246523261,0.00020690633391495794,-0.0004457243485376239,-0.0007126742275431752,-0.0002467924205120653,-0.00032317949808202684,-0.0017964171711355448,-0.0005351282889023423,0.0006973362760618329,0.00020572199719026685,-0.00037259087548591197,0.00017680146265774965,0.0007360728923231363,-0.0010754938703030348,-0.0012889574281871319
volume_sn_voxels::v20,0.00039575263508595526,-0.0006939167506061494,-0.00033122513559646904,0.0004028949188068509,0.0005341600044630468,-0.00026673864340409636,0.00017727544764056802,-0.00012291611346881837,-0.0007208988536149263,-0.00014868185098748654,-0.00038285955088213086,-0.001489815884269774,-0.0005003925180062652,0.000636489421594888,0.0003228070854675025,-0.00032131519401445985,-0.00019398302538320422,0.00022085306409280747,-0.0006608013645745814,-0.0009606807143427432
volume_sn_voxels::v21,0.00047691643703728914,-0.0007826698711141944,-0.0002741554344538599,0.00048108078772202134,0.0007073364686220884,-0.00029050419107079506,8.324707596329972e-05,0.00019634408818092197,-0.0007675148663111031,-1.6267549654003233e-05,-0.00035229718196205795,-0.0011499731335788965,-0.0003334439534228295,0.0005963154835626483,0.0003553564311005175,-0.0003981798654422164,-0.0005145310424268246,-0.00022133409220259637,-0.000199025496840477,-0.0006579386536031961
volume_sn_voxels::v22,0.00047804403584450483,-0.000796049484051764,-0.00014870373706799,0.0005717725725844502,0.0008675434510223567,-0.0002813794417306781,5.472480916068889e-05,0.0005042215925641358,-0.0006955774733796716,2.242596383439377e-05,-0.00017176794062834233,-0.0007939944043755531,-0.00022760764113627374,0.00044876959873363376,0.00023727913503535092,-0.00036000629188492894,-0.0006086236680857837,-0.0004287009942345321,0.00011275849828962237,-0.00047979282680898905
volume_sn_voxels::v23,0.0004882134380750358,-0.0007543551037088037,-8.496064765495248e-06,0.0005773190641775727,0.0009335264330729842,-0.00027227558894082904,0.0001255298702744767,0.0007284822058863938,-0.0007150663295760751,-6.161762939882465e-07,-2.9060956876492128e-06,-0.0002697015879675746,-3.88504886359442e-05,0.0003607711987569928,-1.6969926946330816e-05,-0.00024951715022325516,-0.0004953565658070147,-0.00047692348016425967,0.00011058195377700031,-0.0004701002035290003
volume_sn_voxels::v24,0.0005808942951261997,-0.0007102005183696747,0.00014189103967510164,0.0005484276916831732,0.0010809875093400478,-0.00030144312768243253,0.0002546091563999653,0.0010141086531803012,-0.0008019741508178413,-0.00012180324119981378,8.550142229069024e-05,0.0003310264437459409,0.00022063379583414644,0.00025063377688638866,-0.0004888309631496668,-4.649984111892991e-05,-0.00023272349790204316,-0.00038740766467526555,-9.818682156037539e-05,-0.00043292075861245394
volume_sn_voxels::v25,0.0004184239951428026,-0.00026440058718435466,-9.040637814905494e-05,0.0001884951489046216,0.00045261322520673275,0.0004728649801108986,-2.714701258810237e-05,-0.0011253049597144127,-0.000721482269000262,0.00035212902002967894,-8.355056343134493e-05,-0.0007389571983367205,-0.0006381178391166031,0.00010146018030354753,0.00035709483199752867,-0.0006749855820089579,0.00031434284755960107,0.0007567348075099289,-0.0012356096412986517,-0.001146713038906455
volume_sn_voxels::v26,0.0004296999832149595,-0.0004056563775520772,-0.00023073377087712288,0.00018391894991509616,0.00041810914990492165,0.0002331884461455047,1.7618043784750625e-05,-0.0010483248624950647,-0.000592745200265199,0.00010359822044847533,-0.00021975170238874853,-0.0011834577890112996,-0.0005528561305254698,0.00038539530942216516,0.0001576119684614241,-0.0006472423556260765,0.0003518583544064313,0.0012236435431987047,-0.001479776226915419,-0.0014585440512746572
