Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
0.39410755,-0.23370287,0.6261928,1.6505121,-0.11555025
-0.14822903,1.2468175,0.658262,1.8007642,-0.33708784
0.90188384,-0.2704042,0.5964202,1.3166671,-0.4398849
0.6918362,0.16041052,-0.46758792,1.0976175,-0.41457063
0.12338534,0.12984887,-0.26379853,1.3326006,-0.36716408
-1.0980313,-1.3745869,0.011233817,1.3504529,-0.32534847
0.9517615,-1.0113871,0.2853251,1.4288653,-0.28746474
-1.7741759,-0.37445414,0.6669646,1.6088343,-0.11091089
1.7950381,0.45004642,0.5637294,1.4929153,-0.11599352
-0.30839345,-2.0351875,0.6321249,1.5253487,-0.12342406
-0.24786125,-0.0034201655,0.98018414,1.4569682,-0.15053612
0.8106174,-0.91966313,1.1299998,1.3723602,-0.259823
-0.12021748,0.13204816,-1.0229723,0.83771086,-0.3096874
0.47821948,0.20233652,-0.81038845,0.95462126,-0.43647584
0.64303654,-1.8582765,-0.7587664,1.317995,-0.30526084
-0.3196173,0.86408365,-0.29713327,1.3079504,-0.35110852
0.05885488,-0.388,0.08100895,1.539872,-0.23225483
-0.2047449,-0.37688893,0.48720768,1.6424434,-0.21588588
0.32185856,0.02733883,0.78734577,1.5203297,-0.31824684
-0.11215655,0.5765057,0.79757583,1.5254365,-0.20044546
-0.29498783,-0.5070752,1.5509305,1.4772704,-0.2674642
-1.5115687,-0.037520874,0.90743285,1.3280313,-0.5155124
-1.4815245,-0.29552975,-1.3885558,0.8174168,-0.44552195
-0.020705324,-0.4575948,-1.3199757,1.1399415,-0.41079748
-1.1023333,0.076474234,-1.106828,1.3599465,-0.43099725
0.48403132,-1.1913093,-0.88998663,1.4208143,-0.31278467
-0.037196234,0.09381212,-0.27519426,1.4020432,-0.28339115
0.6639699,0.8838455,0.121003985,1.5203583,-0.22408204
-0.11085433,-0.94576526,0.7497753,1.4090538,-0.70932037
0.018923067,0.42126545,0.9894775,1.5320134,-0.2945995
1.1164842,-0.73749757,-1.8322037,1.3107636,-0.36920238
-0.048529368,1.7955673,-1.4201725,0.7022336,-0.38829845
-0.32046184,0.0021393113,-1.2443174,1.0887295,-0.4519733
-1.6438851,-0.86792403,-1.0815825,1.1188971,-0.3052032
0.24585573,1.0875103,-0.7399774,1.3136196,-0.28259102
-0.003921222,-1.8579944,-0.052120402,1.3208914,-0.34814602
-0.14056888,0.8967966,0.2670845,1.2535076,-0.65755266
0.09106166,0.28128505,0.7622948,1.2847565,-0.55100423
0.44165757,-0.57520705,1.1277765,1.6592344,1.2970163
0.20889659,-0.16121458,-1.6349999,0.49776468,-0.5000225
-0.20226148,-0.10334485,-1.3830249,0.68504924,-0.39206383
-0.7259015,-0.29732662,-1.1677902,0.86457306,-0.41545877
-0.18402907,-0.14436503,1.2768389,1.0687828,-0.5075254
-0.6759939,1.7884663,-0.51691157,1.1808549,-0.49672174
-0.5440782,0.16708827,-0.7689551,1.2850717,-0.7269196
-0.08292505,-0.1568675,0.7319975,1.0638816,-0.57474923
0.9990234,-0.2692242,-1.4032748,0.37090048,-0.5419959
0.06067438,-0.010926796,-1.3498607,0.47142586,-0.56618637
-0.8530499,1.007685,-1.0841827,1.0216177,-0.810177
0.121323794,0.74524075,-0.77570903,0.7114699,-0.81935126
-0.4380149,-0.08187644,0.19375518,1.5795548,-0.21694835
-0.08090438,0.14027396,-0.19708689,1.0889012,-0.25447166
-0.45134625,0.42167997,-0.50072825,1.0092318,-0.2275795
0.12572844,-0.5327854,0.35652035,1.4204516,-0.49052843
0.04531676,0.42037177,0.080337115,1.3251485,-0.2332401
-1.4426832,1.1720803,-0.14242968,1.0628392,-0.3124061
-0.20002244,0.2380149,0.6590409,1.3975444,-0.35818335
0.25259072,-1.8651693,0.5589654,1.4039068,-0.28325492
1.7872043,-0.19749708,0.44401294,1.6574427,-0.42475423
0.12115119,0.43386748,0.07084604,1.1630616,-0.40682346
0.04897902,-0.9903465,0.71734697,1.5975275,-0.39750522
-0.18883146,-0.15964557,0.8381141,0.66654044,-0.4890544
-0.27367482,0.09267406,0.808219,1.481995,-0.19482109
1.1155677,0.16681737,1.1968865,1.552941,-0.43579745
-0.3272875,-1.0481027,0.7676933,1.3766143,-0.21775313
-0.31043783,-0.9381124,0.5377809,1.6090559,-0.35738033
0.2647596,0.067409344,0.6178353,1.2437325,-0.19048765
