Feature,Factor_0,Factor_1,Factor_2,Factor_6,Factor_8,Factor_9,Factor_12,Factor_14,Factor_20,Factor_23,Factor_26,Factor_28,Factor_29
volume_sn_voxels_feature_10,0.9962471127510071,-1.3073079586029053,1.3065176010131836,0.31412649154663086,0.1477595567703247,0.2788800299167633,-1.4484734535217285,-0.019484614953398705,-0.12033075839281082,-0.9314231276512146,0.16715119779109955,0.9430749416351318,-0.912898063659668
volume_sn_voxels_feature_11,0.8518161177635193,0.7178477048873901,0.6603600978851318,1.4439935684204102,0.1236855611205101,-0.5615666508674622,-0.7438547015190125,1.1411519050598145,-0.051402729004621506,1.2461973428726196,0.43326690793037415,-0.7774993777275085,-0.07290330529212952
volume_sn_voxels_feature_12,0.30729013681411743,-0.6101335287094116,0.3995376527309418,1.11012864112854,0.034717414528131485,-0.06535132974386215,-0.35941171646118164,0.530561625957489,-0.0028804216999560595,0.3850272595882416,0.4264346659183502,-0.3263276517391205,0.08817391842603683
volume_sn_voxels_feature_13,0.24326589703559875,-1.2621099948883057,-0.01745755411684513,-0.34769901633262634,-0.11218319088220596,0.07559026032686234,0.16420161724090576,0.1070479080080986,0.21768780052661896,-0.4153483808040619,-0.09059848636388779,0.15069206058979034,-0.19765989482402802
volume_sn_voxels_feature_14,0.0760040432214737,-1.2457884550094604,0.5055374503135681,-0.5851135849952698,0.19082041084766388,0.43005692958831787,-0.20826725661754608,-0.2801772952079773,-0.041716720908880234,-0.31531307101249695,0.23476074635982513,0.8221228122711182,-0.17861543595790863
volume_sn_voxels_feature_15,0.3302832841873169,-1.3797792196273804,-0.5492847561836243,-0.7704915404319763,-0.4592396318912506,0.0918167233467102,0.2809547483921051,0.26610103249549866,0.15860261023044586,-0.49408724904060364,-0.4312715530395508,0.2349751740694046,-0.07718644291162491
volume_sn_voxels_feature_16,0.10462480783462524,-1.3345109224319458,-0.3742488920688629,-1.093464732170105,0.010243922472000122,0.1269821971654892,0.0023627716582268476,-0.5251484513282776,0.24148941040039062,-0.3098362982273102,-0.8142755627632141,0.5456734299659729,-0.11847073584794998
volume_sn_voxels_feature_17,-0.16951924562454224,-1.2970629930496216,-0.0685797780752182,-0.6494138836860657,-0.244955912232399,0.2761273682117462,-0.3576321601867676,0.21477442979812622,-0.09043315798044205,0.10448385030031204,-0.3465888500213623,0.4812334477901459,-0.05610974505543709
volume_sn_voxels_feature_18,-0.11564210057258606,-1.201673150062561,-0.005995588842779398,-1.1493526697158813,0.06907306611537933,0.3200736939907074,-0.7880851626396179,-0.2640916109085083,0.1468784660100937,0.13167224824428558,-0.9828062057495117,0.7707695960998535,-0.11160421371459961
volume_sn_voxels_feature_19,-0.8575742840766907,-1.382494568824768,0.13220877945423126,0.07223153859376907,0.41637706756591797,0.06750371307134628,-0.9333109259605408,0.4367489814758301,0.08898869901895523,0.9442031383514404,0.4338090419769287,-0.13717584311962128,0.236638605594635
volume_sn_voxels_feature_20,-0.4355584979057312,-1.3725048303604126,0.6206939816474915,-0.7631981372833252,0.29424145817756653,0.16079621016979218,-1.3314050436019897,0.5072765946388245,0.04956263303756714,0.7936814427375793,-0.6578471660614014,0.2709553837776184,-0.3660835921764374
volume_sn_voxels_feature_21,-0.6284582018852234,-1.4419355392456055,-0.3577791750431061,0.41388189792633057,0.9592798352241516,-0.2946951985359192,-0.446175217628479,0.2681393325328827,0.3747777044773102,0.6704843044281006,0.6380521655082703,-0.7791053652763367,0.6776196956634521
volume_sn_voxels_feature_22,0.0715423971414566,-1.2989743947982788,0.2184569388628006,0.06179364398121834,0.7129901051521301,0.1673383116722107,-0.47462883591651917,0.1788562536239624,0.14290021359920502,-0.052626725286245346,0.11966311186552048,-0.533098042011261,0.07262592762708664
volume_sn_voxels_feature_23,0.5792374014854431,-1.165849208831787,0.8752875328063965,-0.13726037740707397,-0.04950353130698204,0.2619052827358246,-0.4217923581600189,-0.08306246250867844,-0.10523116588592529,-0.8950297832489014,-0.07930362224578857,-0.031893517822027206,-0.34980252385139465
volume_sn_voxels_feature_24,0.4729450047016144,-1.2636747360229492,1.125948429107666,-0.00756226247176528,-0.2246437817811966,0.19605879485607147,-1.2702268362045288,-0.25471651554107666,-0.09157407283782959,-1.1805273294448853,0.23508191108703613,0.8524499535560608,-0.46734026074409485
volume_sn_voxels_feature_25,1.2460758686065674,0.12390576303005219,0.5874320864677429,1.2683638334274292,0.27491047978401184,-0.16480953991413116,-0.8565220832824707,1.2085514068603516,-0.28622785210609436,0.6414759159088135,0.834153413772583,-0.5454927086830139,-0.7154110074043274
volume_sn_voxels_feature_26,-0.23423519730567932,-1.4116709232330322,-0.03544102981686592,-0.7624001502990723,-0.3307229280471802,0.41380631923675537,-0.8764981627464294,0.5118610262870789,0.61189204454422,1.1275984048843384,-0.2493503838777542,0.9316026568412781,-0.10689929872751236
volume_sn_voxels_feature_27,-0.35492590069770813,-1.0441793203353882,-1.0183099508285522,0.1786038875579834,-1.109359860420227,-0.19686341285705566,1.1446095705032349,-0.32377889752388,-0.2265903502702713,0.5878973007202148,-0.6177821159362793,-0.6162831783294678,1.194887638092041
volume_sn_voxels_feature_28,-0.6788303256034851,-1.1246205568313599,-0.459035724401474,0.2155303955078125,0.46761950850486755,-0.05815999582409859,0.1911800354719162,0.18202166259288788,0.15838730335235596,0.9731552600860596,0.07722356915473938,-0.7375544905662537,0.33262312412261963
