Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v488,0.00048311814316548407,1.1581407306948677e-05,1.868845720309764e-05,-0.00019104385864920914,0.0002522302675060928,2.351925832044799e-05,0.0007010835106484592,-0.0002120479039149359,-7.316422124858946e-05,-0.00027938393759541214,0.0003257888602092862,0.0007177871884778142
volume_sn_voxels::v489,0.00043731709592975676,-8.192366658477113e-05,-0.00030718694324605167,-0.00023936768411658704,-0.00023150883498601615,6.350821877276758e-06,0.0009656048496253788,-0.0005257067386992276,0.00026757275918498635,-0.0003020245931111276,0.0008924402645789087,-0.0004974388866685331
volume_sn_voxels::v490,0.0004268682387191802,-8.620649168733507e-05,-0.00044427718967199326,-0.00026579663972370327,-0.00010679845581762493,4.132044705329463e-05,0.0007719098939560354,-0.00034270822652615607,0.0001531462330603972,-0.00025842752074822783,0.0008079882245510817,-0.0002950037596747279
volume_sn_voxels::v491,0.0005180432344786823,-0.0001243836450157687,-0.0006179813062772155,-0.00036558773717842996,3.2919394925556844e-06,6.620348722208291e-05,0.0005944549920968711,-0.00022656719374936074,5.08154698763974e-05,-0.00024426059098914266,0.0007979229558259249,2.143357414752245e-05
volume_sn_voxels::v492,0.0005116125103086233,-7.294878014363348e-05,-0.0005714791477657855,-0.00042157532880082726,0.00016435061115771532,8.230715320678428e-05,0.0003434736281633377,-0.00010611276229610667,-2.395379306108225e-05,-0.00022461892513092607,0.000574263627640903,0.0004612192278727889
volume_sn_voxels::v493,0.0004668249166570604,-1.435938429494854e-05,-0.0003568470710888505,-0.00040562532376497984,0.00024533827672712505,5.187610804568976e-05,0.0001878689945442602,-3.33881689584814e-05,-0.00010618345550028607,-0.00019946024985983968,0.00033922813599929214,0.0007529428694397211
volume_sn_voxels::v494,0.0004638302489183843,7.9230303526856e-05,-5.3889478294877335e-05,-0.0003164491499774158,0.0003098428132943809,2.75431066256715e-05,0.00017742547788657248,4.726677798316814e-05,-0.0001743361062835902,-0.00019220086687710136,0.00014504764112643898,0.0011671795509755611
volume_sn_voxels::v495,0.0005039671086706221,6.5675744735926855e-06,-0.0002161212032660842,-0.0003966305230278522,-0.00018814945360645652,3.935989298042841e-05,0.0007270406931638718,-0.0005666011711582541,0.00042318005580455065,-0.0002912567288149148,0.0008514295914210379,-0.0003664656251203269
volume_sn_voxels::v496,0.0004773655964527279,-5.668527592206374e-05,-0.0004655569209717214,-0.00035631973878480494,-0.00016113946912810206,6.60568694001995e-05,0.0006536926957778633,-0.0004584853013511747,0.0002673816052265465,-0.0002713093999773264,0.0007666513556614518,-0.00032522986293770373
volume_sn_voxels::v497,0.000511710240971297,-6.0725000366801396e-05,-0.000706266553606838,-0.0004450555716175586,-9.339144889963791e-05,6.574494909727946e-05,0.0004530507721938193,-0.000317160040140152,0.00014762287901248783,-0.00021051816293038428,0.0007362198084592819,-8.643959881737828e-05
volume_sn_voxels::v498,0.0005193797405809164,-9.718284127302468e-05,-0.0008031012839637697,-0.0005258414894342422,6.477005081251264e-05,0.00012692005839198828,0.0001748341164784506,-0.00012266627163626254,5.3882024076301605e-05,-0.00020294188288971782,0.0005849627777934074,0.00026261594030074775
volume_sn_voxels::v499,0.0004969076253473759,-7.648328028153628e-05,-0.0007379223825410008,-0.0005316291353665292,0.00017404594109393656,0.00012388736649882048,-2.0165007299510762e-05,1.0407497029518709e-05,-5.071236955700442e-05,-0.00018170653493143618,0.000373358023352921,0.0005750919226557016
volume_sn_voxels::v500,0.00047359761083498597,-1.5945524864946492e-05,-0.000545240705832839,-0.000447590253315866,0.00025088051916100085,0.00013283942826092243,-9.483010944677517e-05,9.008059714687988e-05,-0.00010728267807280645,-0.00018629003898240626,0.00020259080338291824,0.000780455069616437
volume_sn_voxels::v501,0.00040184371755458415,6.988620589254424e-05,-0.0002306878741364926,-0.00034452846739441156,0.0002634251432027668,8.15092062111944e-05,-4.389668902149424e-05,0.00011139661364722997,-0.0001742909080348909,-0.00018685910617932677,8.361486834473908e-05,0.0010043613146990538
volume_sn_voxels::v502,0.0004958746139891446,1.49771058204351e-05,-0.0003169872215948999,-0.00041504803812131286,-0.0001204313593916595,6.281022797338665e-05,0.0005017665098421276,-0.0005041087279096246,0.00045579508878290653,-0.00026200362481176853,0.0006977856392040849,-0.00031793484231457114
volume_sn_voxels::v503,0.0004998507210984826,-5.193665492697619e-05,-0.0006301696412265301,-0.0004434314905665815,-0.00013228124589659274,5.82738321099896e-05,0.0004028248367831111,-0.00044017500476911664,0.00026276384596712887,-0.0002539600245654583,0.0006086453213356435,-0.0002066795714199543
volume_sn_voxels::v504,0.0005217342986725271,-8.71727243065834e-05,-0.000791523780208081,-0.000476015848107636,-6.0095237131463364e-05,8.280560723505914e-05,0.00015288266877178103,-0.0002541410503908992,0.00013655563816428185,-0.00024497194681316614,0.0004900275380350649,4.9687339924275875e-05
volume_sn_voxels::v505,0.0005079174879938364,-9.50003886828199e-05,-0.0008982470026239753,-0.0005687670782208443,-5.8903151511913165e-06,0.00013762038724962622,-8.106425229925662e-05,-7.862751954235137e-05,4.559472290566191e-05,-0.00021577169536612928,0.0003674448234960437,0.0003098955494351685
volume_sn_voxels::v506,0.0004792360414285213,-6.942908657947555e-05,-0.0008120969869196415,-0.0005859750672243536,0.00013125574332661927,0.00015959660231601447,-0.00026179105043411255,8.834745676722378e-05,-5.5234133469639346e-05,-0.00022632522450294346,0.00019578133651521057,0.0005615000263787806
volume_sn_voxels::v507,0.0004109885776415467,-7.928740160423331e-06,-0.0006029031937941909,-0.0004367607762105763,0.00020808963745366782,0.00015335448551923037,-0.00023358978796750307,0.00016401824541389942,-0.00011043407721444964,-0.0002450768370181322,7.882188947405666e-05,0.0006714058690704405
volume_sn_voxels::v508,0.00041587924351915717,8.292021811939776e-05,-0.0003779968828894198,-0.00030196085572242737,0.0002623498730827123,0.00015843281289562583,-0.00017544059664942324,0.00020277255680412054,-0.00017026305431500077,-0.0002504499861970544,4.985510713595431e-06,0.0009428401244804263
volume_sn_voxels::v509,0.000515035237185657,5.370277358451858e-05,-8.838043140713125e-05,-0.0004438218893483281,-1.9144430552842095e-05,8.348465780727565e-05,0.0003363434225320816,-0.0003840463177766651,0.0007323141908273101,-0.00019696494564414024,0.0006209543789736927,-0.0003106285585090518
