Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels::v616,-0.12361251,-0.08499045,0.39840692,-0.6197695,-0.17444621,0.5429264,-0.7128787,-0.04353817,-1.4671719,-1.4529419,-0.18122016,0.18496586,-0.78167295,-0.24300823,-0.3626474,-0.28998116,-0.47915447,-0.15179728,0.060064133,-0.20461574
volume_sn_voxels::v617,-0.11431506,-0.5543153,0.192034,-0.35698345,-0.23014121,-0.05397092,-0.37880713,0.034691755,-1.2297361,-0.9375609,-0.080466926,0.15139546,-1.4188435,-0.37246135,-0.47700283,-0.10430621,-0.13573262,-0.10678614,-0.3334258,-0.33767432
volume_sn_voxels::v618,-0.109361835,-0.010498592,-0.037319627,-0.35563245,-0.57887524,-0.5742877,-0.20386533,0.034642313,-0.98709136,-0.74987817,-0.0828137,-0.18172641,-1.9182925,-0.04945475,-0.20810322,-0.03605042,0.3208309,-0.02670523,-0.2630964,-0.04987059
volume_sn_voxels::v619,0.2628297,-0.22028449,-0.20258601,-0.7562845,-1.1647996,-0.83603084,-0.08698759,0.23636828,-0.109328024,-0.3483419,0.18578382,-0.34184313,-1.6946214,0.32951632,-0.022949329,0.0887061,0.8262472,0.52264094,-0.030117568,-0.07137385
volume_sn_voxels::v620,0.674482,0.4682992,-0.15402122,-0.6197042,-1.213633,-0.43077284,0.02528064,0.30321693,0.50260645,-0.63579905,0.12569597,-0.63435596,-1.5082519,0.97789985,0.28529233,0.38655826,0.5813848,1.0900447,0.25913838,-0.22608739
volume_sn_voxels::v621,0.41109696,-0.27677745,0.3738517,-0.42506963,-0.39738244,0.6305327,-0.73219365,-0.12448076,-1.7144283,-1.1128492,-0.2069143,0.8018202,-1.234313,-0.18928893,-0.19881639,-0.7279118,-0.5220755,0.31690034,0.23255903,-0.2556703
volume_sn_voxels::v622,-0.18440166,-0.08699912,0.2831513,-0.28176853,0.020765187,0.36945593,-0.33413482,-0.04530627,-1.4332938,-1.106958,-0.07661475,0.9186744,-1.4451973,-0.13942085,-0.2230601,-0.46987718,-0.7197784,0.005966034,-0.06418749,-0.31673238
volume_sn_voxels::v623,-0.17998369,-0.51012677,0.107151024,-0.15601034,-0.018661205,-0.18757859,0.029366644,-0.015496943,-1.1718845,-0.18960288,0.1913177,0.67347413,-1.3682568,-0.07522301,-0.071755305,-0.089992255,-0.14868347,-0.14161305,-0.25884378,-0.24919394
volume_sn_voxels::v624,-0.03555266,-0.5144492,0.075232826,-0.22915937,0.024636874,-0.5328553,0.04315205,-0.09911047,-0.70091337,0.17214264,0.15634243,0.4566076,-1.5304474,-0.21127106,0.030425578,0.10740102,0.13499528,-0.033409953,-0.43564868,-0.08473041
volume_sn_voxels::v625,0.18840095,0.10983384,-0.04119113,-0.20369938,-0.5718025,-0.5449159,0.31211302,0.09994654,0.14180264,0.036033385,0.2910759,-0.024148477,-1.5384598,0.23339218,0.22611791,0.29366216,0.4938744,0.15233259,-0.2670494,-0.017404363
volume_sn_voxels::v626,0.7302202,0.3398481,-0.15013692,-0.35948387,-1.2241622,-0.7080854,0.35737142,0.32725108,0.6864375,-0.23169482,0.21370544,-0.30992842,-1.604906,0.8068201,0.37744892,0.48980996,0.9452185,0.7827896,0.40377134,-0.082818225
volume_sn_voxels::v627,0.97171795,-0.21766323,0.18677366,-0.36119598,-0.37562954,0.20038135,-0.76180464,-0.10418134,-1.48641,-1.1598507,-0.2977328,1.1607978,-1.1750504,0.15993953,-0.1467583,-0.868903,-0.4981484,0.70264775,0.0803111,0.003934587
volume_sn_voxels::v628,0.18585142,-0.45032284,0.29191118,-0.19917049,-0.09576255,0.4101874,-0.7198897,-0.09744469,-1.540581,-1.30116,-0.05014854,1.0151076,-1.5264505,0.044815734,-0.32830676,-0.72828084,-0.6883606,0.2882015,-0.058236875,-0.25358513
volume_sn_voxels::v629,-0.1883511,-0.23222062,0.23171443,0.11942573,0.34976712,0.06919777,-0.26619476,0.031123284,-1.2478658,-0.2765061,0.034238227,1.4950578,-1.4136236,-0.38968077,-0.07389906,-0.5038333,-0.6364634,-0.053354416,-0.357183,-0.31461266
volume_sn_voxels::v630,-0.26834142,-0.45703417,0.094994366,-0.12056721,0.47049516,-0.18091321,0.10588822,-0.026042681,-0.83938444,0.53602946,0.086425744,0.9367158,-1.5235164,-0.36640275,-0.023127502,0.14575654,-0.31344,-0.23965111,-0.54307896,-0.2024376
volume_sn_voxels::v631,-0.042851184,0.005105113,0.07447781,-0.06641199,0.54878926,-0.6280529,0.13165683,-0.097814016,0.032113038,0.7240701,0.042118378,1.0854013,-1.892364,-0.30395243,0.109727696,0.14404427,-0.1548677,-0.44226372,-0.8063155,-0.04094082
volume_sn_voxels::v632,0.17610696,0.16868673,0.05190631,0.000583197,-0.32330516,-0.49160418,0.18277444,-0.04145394,0.67386,0.29678524,0.3243839,0.40048164,-1.6716428,0.31733772,0.28104672,0.3508737,0.24177529,-0.2168682,-0.41206288,0.123956226
volume_sn_voxels::v633,0.6100992,0.33090374,-0.24570014,-0.41652846,-0.9111668,-0.3485386,0.36569276,0.15409063,0.7799423,-0.121626996,0.23369604,0.28901228,-1.7253636,0.99836326,0.39756045,0.38182345,0.8556321,-0.0049988707,0.099813096,0.012513039
volume_sn_voxels::v634,0.7674794,-0.12546176,0.08129377,0.2024268,-0.03824296,0.16677944,-0.8145214,-0.33581707,-1.3401269,-1.0452734,-0.009294785,1.3049941,-1.1085205,0.014796293,-0.08962648,-0.7736159,-0.5453713,0.5280681,-0.1543105,0.09344307
volume_sn_voxels::v635,0.07667147,-0.031803716,-0.03307034,-0.19383577,-0.093577296,0.26088324,-0.4622643,-0.12835337,-1.1132156,-0.5334711,0.20816992,1.409737,-1.4538734,-0.22154735,0.029727478,-0.5798578,-0.5433732,0.19137701,-0.32480365,-0.2312865
volume_sn_voxels::v636,-0.35940793,-0.11844942,0.075221956,0.105125025,0.5950515,0.16528513,-0.06418853,0.036442216,-1.2444503,0.2714161,0.11031484,1.2182764,-1.6522784,-0.6179389,0.23468825,-0.16173282,-0.4240843,-0.058920823,-0.32383153,-0.2880402
volume_sn_voxels::v637,-0.038627815,-0.3512252,0.08153926,0.014488006,0.8248567,-0.25342992,0.06692567,-0.017625446,-0.22353248,0.5481825,0.20925146,1.238167,-1.4981956,-0.58327895,0.33253974,0.22997001,-0.62003875,-0.35583627,-0.47299317,-0.0858592
volume_sn_voxels::v638,0.029046306,-0.2853179,0.21191357,1.2063329,0.9973863,-0.40470886,0.09454029,0.14853777,0.66897386,0.64102453,0.07338491,1.1465533,-1.5263435,-0.25496036,0.3977853,0.13245873,-0.24154447,-0.6933227,-0.6657366,0.02113254
volume_sn_voxels::v639,0.21120505,0.2850306,-0.12112668,-0.1682126,0.3150284,-0.34965938,0.19794826,0.036495686,0.9763701,0.41582772,0.30963072,1.1678578,-1.4624565,0.88934314,0.007173021,-0.2011837,-0.0014787597,-0.9755708,-0.46461126,0.095888786
volume_sn_voxels::v640,0.58432335,0.21745248,-0.38008505,-0.13036953,-1.0657853,-0.25811422,0.46872097,0.057394322,0.88524723,-0.28170034,0.09728136,0.7480732,-1.2982912,1.2021341,0.4063205,0.42721194,0.22774433,-0.8901117,0.23728657,-0.00836669
volume_sn_voxels::v641,1.2195718,-0.35712007,-0.11686435,0.2503086,-0.2839607,-0.33738202,-0.39655712,-0.78640926,-1.7141824,-0.7769322,0.23444189,1.3620424,-0.80512315,-0.15106693,-0.44528997,-0.63442945,-0.13045381,0.80755806,-0.69910604,0.047339868
volume_sn_voxels::v642,0.8079497,-0.1709233,-0.111877255,0.17304768,-0.07921178,0.10907707,-0.6073692,-0.33793622,-1.375042,-0.65649176,0.335929,1.1907604,-0.9249234,-0.18563674,-0.17337625,-0.6925631,-0.05830642,0.32589892,-0.19581956,-0.08088161
volume_sn_voxels::v643,-0.07070571,-0.09254167,-0.047956042,-0.00701593,0.011264144,0.08592927,-0.33484393,-0.14369166,-0.5553136,-0.28078857,0.3354078,1.2094439,-1.2763863,-0.5729039,-0.013161314,-0.19044816,-0.22461796,0.28787118,-0.22088608,-0.098453656
volume_sn_voxels::v644,-0.3750976,-0.08624305,-0.27441207,0.2869263,0.6109385,0.14958195,-0.104285985,0.2783498,-0.21452723,0.20165741,0.28961453,1.6034719,-1.3782002,-0.80813366,0.2521679,0.032022648,-0.2755405,-0.08707381,-0.34394976,0.029009044
volume_sn_voxels::v645,-0.1855426,0.24592236,0.13078332,0.2795046,1.0527829,-0.18178153,0.121099435,0.26709327,0.84572965,0.47153983,0.26234877,1.5598326,-1.6984328,-0.8316756,0.21591328,0.14842914,-0.52665156,-0.58047056,-0.2931621,0.11623764
volume_sn_voxels::v646,-0.1313599,0.42713523,0.024850639,0.13590276,0.9209297,-0.19740033,0.17906973,0.23625429,1.0420445,0.24878593,0.038136374,1.4993796,-1.0810102,0.08866655,0.20008565,0.26984408,-0.64864314,-0.9854987,-0.36978343,0.16279835
volume_sn_voxels::v647,0.1952811,0.24426278,-0.12731048,-0.0037128371,0.63908845,-0.33274248,0.14655954,0.25284138,1.1622392,0.10377522,0.014425183,1.2987165,-1.0459857,0.9630551,0.075834915,0.21693172,-0.61710906,-1.1718363,-0.4172313,0.09150792
volume_sn_voxels::v648,0.5202797,0.22920592,-0.64772356,-0.37091428,-0.8238246,-8.688355e-06,0.26636615,0.1793197,1.2659519,-0.59153956,0.16113769,1.2884972,-1.2325418,1.321078,0.4144786,0.40169242,-0.49258494,-1.2732209,0.40349287,-0.056499213
volume_sn_voxels::v649,1.2107837,-0.6568495,-0.8256572,0.21760717,-0.27801546,-0.5092871,-0.45561093,-0.9227626,-1.3593153,-0.3558551,0.24527375,1.73868,-0.3695094,-0.15029792,-0.32604262,-0.25436693,0.69900924,0.4386475,-0.45448843,0.20671462
