Feature,Factor_0,Factor_2,Factor_4,Factor_8,Factor_10,Factor_16,Factor_18,Factor_19
volume_sn_voxels_feature_37,1.1626734733581543,0.05958252400159836,-1.206511378288269,-0.5107825398445129,-1.2439652681350708,-0.5145313143730164,0.3299224376678467,1.1228351593017578
volume_sn_voxels_feature_38,-0.7495222687721252,0.17401757836341858,0.7993178367614746,0.1247783824801445,-1.0573517084121704,0.695938766002655,0.20387253165245056,-1.2000656127929688
volume_sn_voxels_feature_39,-0.02991441823542118,-0.017473412677645683,0.7049887180328369,-0.22428469359874725,-1.1504963636398315,0.5576722621917725,-0.1049584448337555,-0.9991669654846191
volume_sn_voxels_feature_40,0.7561922073364258,0.09452913701534271,0.059771578758955,-0.36022165417671204,-1.171707272529602,0.34586095809936523,-0.31074923276901245,0.9226040244102478
volume_sn_voxels_feature_41,1.165349006652832,0.3536352813243866,-1.1993879079818726,-0.5534698367118835,-1.2796279191970825,-0.17771337926387787,-0.3817381262779236,1.3107199668884277
volume_sn_voxels_feature_42,1.21657395362854,0.655103862285614,-1.2548359632492065,-0.6116829514503479,-1.2948026657104492,-0.4400569200515747,-0.3315102159976959,1.3731924295425415
volume_sn_voxels_feature_43,1.4100594520568848,-0.4091137945652008,-1.1467771530151367,0.4272376000881195,0.45391902327537537,-1.1631226539611816,-1.134419322013855,0.4639805257320404
volume_sn_voxels_feature_44,1.117280125617981,-1.017303466796875,-0.24468015134334564,-0.004890474025160074,-0.36536428332328796,-1.3154188394546509,-1.1730767488479614,0.4722353518009186
volume_sn_voxels_feature_45,0.09754800796508789,-0.07577488571405411,0.7644239068031311,-0.3764948844909668,-0.9335417151451111,-0.9262917637825012,-1.1943893432617188,-1.3329137563705444
volume_sn_voxels_feature_46,1.0266302824020386,0.00036504119634628296,-1.4772363901138306,-0.3336682617664337,-1.1280361413955688,-0.6543759107589722,0.7220430374145508,0.5766586661338806
volume_sn_voxels_feature_47,-0.6004672050476074,0.0887485146522522,0.43223056197166443,-0.08658158779144287,-0.33164939284324646,-0.4407167434692383,-0.9142714738845825,-1.1931501626968384
volume_sn_voxels_feature_48,1.1860699653625488,-0.7881626486778259,-0.6469419002532959,-0.42366084456443787,0.7805661559104919,-0.16527028381824493,-0.7490774989128113,0.018281152471899986
volume_sn_voxels_feature_49,1.07410728931427,0.13506168127059937,-1.410782814025879,-0.4277134835720062,-1.1766904592514038,0.24471516907215118,0.5443326234817505,0.599299967288971
volume_sn_voxels_feature_50,-0.7306787371635437,-0.08417247235774994,0.19061271846294403,0.21364234387874603,0.3685770332813263,-0.03254410997033119,-0.11620987206697464,-1.3137495517730713
volume_sn_voxels_feature_51,-0.2028902769088745,-0.45607203245162964,0.6356011033058167,-0.00445933872833848,0.6770625114440918,0.36964866518974304,-0.268280565738678,-1.3144563436508179
volume_sn_voxels_feature_52,0.36756598949432373,-0.6576141715049744,0.43169334530830383,-0.21402227878570557,0.6428092122077942,0.21490319073200226,-0.23542948067188263,-1.0333770513534546
volume_sn_voxels_feature_53,1.2118010520935059,0.26352015137672424,-1.3809138536453247,0.393497109413147,-0.8985738158226013,-0.25385984778404236,0.03964230790734291,1.3197011947631836
volume_sn_voxels_feature_54,-0.7459365725517273,-0.15696021914482117,0.8235543370246887,0.1901661604642868,-0.38736024498939514,0.30965229868888855,0.2275749146938324,-1.161357045173645
