Feature,Factor_0
volume_sn_voxels::v244,-1.3591086864471436
volume_sn_voxels::v245,-1.6438685655593872
volume_sn_voxels::v246,-1.7076412439346313
volume_sn_voxels::v247,-1.5472511053085327
volume_sn_voxels::v248,-1.392704963684082
volume_sn_voxels::v249,-1.372441053390503
volume_sn_voxels::v250,-1.1920628547668457
volume_sn_voxels::v251,-1.0169451236724854
volume_sn_voxels::v252,-0.63322913646698
volume_sn_voxels::v253,-0.7987604141235352
volume_sn_voxels::v254,-1.198163628578186
volume_sn_voxels::v255,-1.366566777229309
volume_sn_voxels::v256,-1.4290671348571777
volume_sn_voxels::v257,-1.5129202604293823
volume_sn_voxels::v258,-1.5585857629776
volume_sn_voxels::v259,-1.463007926940918
volume_sn_voxels::v260,-1.2157511711120605
volume_sn_voxels::v261,-1.0174171924591064
volume_sn_voxels::v262,-0.8387894630432129
volume_sn_voxels::v263,-0.9912894368171692
volume_sn_voxels::v264,-1.0482873916625977
volume_sn_voxels::v265,-1.2741819620132446
volume_sn_voxels::v266,-1.4617795944213867
volume_sn_voxels::v267,-1.698657512664795
volume_sn_voxels::v268,-1.3272442817687988
volume_sn_voxels::v269,-1.1165790557861328
volume_sn_voxels::v270,-0.6460113525390625
volume_sn_voxels::v271,-0.8533997535705566
volume_sn_voxels::v272,-0.9396716952323914
volume_sn_voxels::v273,-1.088850498199463
volume_sn_voxels::v274,-1.2635340690612793
volume_sn_voxels::v275,-1.323920488357544
volume_sn_voxels::v276,-1.1576848030090332
volume_sn_voxels::v277,-0.964567244052887
volume_sn_voxels::v278,-0.6044450998306274
volume_sn_voxels::v279,-0.7468529939651489
volume_sn_voxels::v280,-0.8713132739067078
volume_sn_voxels::v281,-1.0232570171356201
volume_sn_voxels::v282,-1.0997767448425293
volume_sn_voxels::v283,-0.394042432308197
volume_sn_voxels::v284,-0.8086445927619934
volume_sn_voxels::v285,-0.7007519006729126
volume_sn_voxels::v286,-1.1079649925231934
volume_sn_voxels::v287,-1.356796383857727
volume_sn_voxels::v288,-1.1220725774765015
volume_sn_voxels::v289,-1.3016926050186157
volume_sn_voxels::v290,-1.2992035150527954
volume_sn_voxels::v291,-1.408151388168335
volume_sn_voxels::v292,-1.3072534799575806
volume_sn_voxels::v293,-1.1903834342956543
volume_sn_voxels::v294,-1.2759860754013062
volume_sn_voxels::v295,-1.4632081985473633
volume_sn_voxels::v296,-1.4314520359039307
volume_sn_voxels::v297,-1.3101457357406616
volume_sn_voxels::v298,-1.260166883468628
volume_sn_voxels::v299,-1.2950080633163452
volume_sn_voxels::v300,-1.3417015075683594
volume_sn_voxels::v301,-1.4217678308486938
volume_sn_voxels::v302,-1.4514466524124146
volume_sn_voxels::v303,-1.2456190586090088
volume_sn_voxels::v304,-1.1651595830917358
volume_sn_voxels::v305,-1.2955043315887451
volume_sn_voxels::v306,-1.2936780452728271
volume_sn_voxels::v307,-1.3749408721923828
volume_sn_voxels::v308,-1.45711088180542
volume_sn_voxels::v309,-1.4872227907180786
volume_sn_voxels::v310,-1.4445546865463257
volume_sn_voxels::v311,-1.3436814546585083
volume_sn_voxels::v312,-1.2295386791229248
volume_sn_voxels::v313,-1.4377026557922363
volume_sn_voxels::v314,-1.3940730094909668
volume_sn_voxels::v315,-1.404386043548584
volume_sn_voxels::v316,-1.4462698698043823
volume_sn_voxels::v317,-1.4098774194717407
volume_sn_voxels::v318,-1.3511438369750977
volume_sn_voxels::v319,-1.1626883745193481
volume_sn_voxels::v320,-0.7721620202064514
volume_sn_voxels::v321,-1.0799652338027954
volume_sn_voxels::v322,-1.1461530923843384
