Feature,Factor_0,Factor_1
volume_sn_voxels_feature_261,-1.7299472,-1.0091567
volume_sn_voxels_feature_262,-1.6761031,-1.0894167
volume_sn_voxels_feature_263,-1.9424171,-1.3017772
volume_sn_voxels_feature_264,-1.6379417,-1.1989322
volume_sn_voxels_feature_265,-1.4537581,-1.3199323
volume_sn_voxels_feature_266,-1.8417199,-1.379984
volume_sn_voxels_feature_267,-1.4345801,-1.2691727
volume_sn_voxels_feature_268,-0.8282041,-1.0161537
volume_sn_voxels_feature_269,-0.39763242,-0.77673966
volume_sn_voxels_feature_270,-0.6768784,-0.987183
volume_sn_voxels_feature_271,-0.23658486,-0.5569942
volume_sn_voxels_feature_272,-1.2733204,-1.3279706
volume_sn_voxels_feature_273,-1.4216342,-1.291049
volume_sn_voxels_feature_274,-0.52597505,-0.8172554
volume_sn_voxels_feature_275,-0.4111709,-0.63705593
volume_sn_voxels_feature_276,-0.7332098,-1.30524
volume_sn_voxels_feature_277,-0.76549774,-0.8399865
volume_sn_voxels_feature_278,-0.4775485,-1.1792295
volume_sn_voxels_feature_279,-0.53979987,-1.1427149
volume_sn_voxels_feature_280,-0.6994297,-0.66505694
volume_sn_voxels_feature_281,-0.56189567,-1.0635378
volume_sn_voxels_feature_282,-0.75766534,-1.0940952
volume_sn_voxels_feature_283,-0.6401521,-0.7175163
volume_sn_voxels_feature_284,-1.2791761,-0.95273805
volume_sn_voxels_feature_285,-1.5962812,-1.0297748
volume_sn_voxels_feature_286,-1.7571146,-1.143201
volume_sn_voxels_feature_287,-1.7056097,-1.1102896
volume_sn_voxels_feature_288,-1.7651881,-1.2781093
volume_sn_voxels_feature_289,-1.278473,-1.1870345
volume_sn_voxels_feature_290,-1.6699189,-1.2553998
volume_sn_voxels_feature_291,-1.4208976,-1.3221035
volume_sn_voxels_feature_292,-1.7884128,-1.354421
volume_sn_voxels_feature_293,-1.5576404,-1.4778804
volume_sn_voxels_feature_294,-0.9825945,-1.1929761
volume_sn_voxels_feature_295,-1.6488702,-1.4783509
volume_sn_voxels_feature_296,-0.95909536,-1.1722536
volume_sn_voxels_feature_297,-0.6509703,-0.8880039
volume_sn_voxels_feature_298,-1.0293814,-1.1596607
volume_sn_voxels_feature_299,-0.78314555,-0.94913745
volume_sn_voxels_feature_300,-0.37960634,-0.6648701
volume_sn_voxels_feature_301,-0.10470262,-1.2039235
volume_sn_voxels_feature_302,-0.27215913,-1.2903984
volume_sn_voxels_feature_303,-0.50763476,-1.359521
volume_sn_voxels_feature_304,-0.82276255,-1.4573911
volume_sn_voxels_feature_305,-0.7060804,-0.9267149
volume_sn_voxels_feature_306,-0.40139198,-0.63354295
volume_sn_voxels_feature_307,-0.091983184,-1.2324258
volume_sn_voxels_feature_308,-0.28220823,-1.3812076
volume_sn_voxels_feature_309,-0.6590625,-1.4262968
volume_sn_voxels_feature_310,-0.6807016,-0.84228516
volume_sn_voxels_feature_311,-0.27513075,-0.43582383
volume_sn_voxels_feature_312,-0.03448304,-1.2755831
volume_sn_voxels_feature_313,-0.29056737,-1.2257322
volume_sn_voxels_feature_314,-0.57769054,-1.2060226
volume_sn_voxels_feature_315,-0.5856045,-0.93098825
volume_sn_voxels_feature_316,-0.41321614,-0.6374693
volume_sn_voxels_feature_317,-1.3764827,-0.9527426
volume_sn_voxels_feature_318,-1.0561668,-1.079227
volume_sn_voxels_feature_319,-1.4189659,-1.0764161
volume_sn_voxels_feature_320,-1.6402464,-1.10573
volume_sn_voxels_feature_321,-1.4436363,-1.236175
volume_sn_voxels_feature_322,-1.7032986,-1.2312726
volume_sn_voxels_feature_323,-1.4745029,-1.3574557
volume_sn_voxels_feature_324,-1.4260035,-1.397456
volume_sn_voxels_feature_325,-1.2957441,-1.401947
volume_sn_voxels_feature_326,-0.97666425,-1.3156804
volume_sn_voxels_feature_327,-1.2072642,-1.5073695
volume_sn_voxels_feature_328,-1.0919822,-1.4390613
volume_sn_voxels_feature_329,-0.935216,-1.300867
volume_sn_voxels_feature_330,-0.942619,-1.4537905
volume_sn_voxels_feature_331,-1.1033759,-1.5063225
volume_sn_voxels_feature_332,-0.8710068,-1.175946
volume_sn_voxels_feature_333,-0.7078122,-0.9252711
volume_sn_voxels_feature_334,0.34567562,-1.3444004
volume_sn_voxels_feature_335,0.16803217,-1.5056937
volume_sn_voxels_feature_336,-0.12187136,-1.4061677
volume_sn_voxels_feature_337,-0.8026662,-1.2699759
volume_sn_voxels_feature_338,-0.8367879,-1.1057508
volume_sn_voxels_feature_339,-0.7176653,-0.8757039
volume_sn_voxels_feature_340,-0.4239895,-0.59482205
volume_sn_voxels_feature_341,0.4900016,-1.1936228
volume_sn_voxels_feature_342,0.29329512,-1.2106785
volume_sn_voxels_feature_343,0.07873531,-1.3021703
volume_sn_voxels_feature_344,-0.21647719,-1.4368664
volume_sn_voxels_feature_345,-0.6049754,-1.3208869
volume_sn_voxels_feature_346,-0.87653476,-1.1595551
volume_sn_voxels_feature_347,-0.6553172,-0.865086
volume_sn_voxels_feature_348,-0.36436054,-0.51608586
volume_sn_voxels_feature_349,0.4028099,-1.1233321
volume_sn_voxels_feature_350,0.035217926,-1.3543847
volume_sn_voxels_feature_351,-0.39439556,-1.2867041
volume_sn_voxels_feature_352,-0.5797612,-0.99554
volume_sn_voxels_feature_353,-0.42317235,-0.75505114
volume_sn_voxels_feature_354,0.40257117,-0.94995445
volume_sn_voxels_feature_355,0.15793924,-1.0150357
volume_sn_voxels_feature_356,-0.119676754,-1.1365604
volume_sn_voxels_feature_357,-0.18172039,-0.8847701
volume_sn_voxels_feature_358,-0.22621718,-0.6164273
volume_sn_voxels_feature_359,0.089729555,-0.8507207
volume_sn_voxels_feature_360,-1.0233145,-1.247256
volume_sn_voxels_feature_361,-0.77365035,-1.3797171
volume_sn_voxels_feature_362,-0.4226439,-1.4593744
volume_sn_voxels_feature_363,-0.65014356,-1.402177
volume_sn_voxels_feature_364,0.798148,-1.06045
volume_sn_voxels_feature_365,0.7369158,-1.251116
volume_sn_voxels_feature_366,0.60917586,-1.4538771
volume_sn_voxels_feature_367,0.21459286,-1.2436286
volume_sn_voxels_feature_368,-0.09077657,-1.3319322
volume_sn_voxels_feature_369,-0.2365207,-1.2709605
volume_sn_voxels_feature_370,-0.5491729,-1.3084451
volume_sn_voxels_feature_371,-0.66567755,-1.169634
volume_sn_voxels_feature_372,0.80331856,-1.1147996
volume_sn_voxels_feature_373,0.73659027,-1.1786531
volume_sn_voxels_feature_374,0.72161454,-1.3506012
volume_sn_voxels_feature_375,0.608984,-1.3393669
volume_sn_voxels_feature_376,0.40675834,-1.2340846
volume_sn_voxels_feature_377,0.08852159,-1.1805116
volume_sn_voxels_feature_378,-0.09877985,-1.2967137
volume_sn_voxels_feature_379,-0.49345505,-1.2914056
volume_sn_voxels_feature_380,-0.5673364,-1.1003752
volume_sn_voxels_feature_381,-0.5573627,-0.8249162
volume_sn_voxels_feature_382,0.63150734,-1.0450265
volume_sn_voxels_feature_383,0.6070321,-1.1163473
volume_sn_voxels_feature_384,0.64921707,-1.257481
volume_sn_voxels_feature_385,0.17464925,-1.2312323
volume_sn_voxels_feature_386,-0.340387,-1.3071414
volume_sn_voxels_feature_387,-0.58237565,-1.1460091
volume_sn_voxels_feature_388,-0.6264263,-0.9693316
volume_sn_voxels_feature_389,0.6591036,-1.1745245
volume_sn_voxels_feature_390,0.24041039,-1.1911105
volume_sn_voxels_feature_391,-0.06517157,-1.2520881
volume_sn_voxels_feature_392,-0.44991863,-0.83858824
volume_sn_voxels_feature_393,0.5495919,-1.0806211
volume_sn_voxels_feature_394,0.29646155,-1.0936415
volume_sn_voxels_feature_395,-0.11593165,-0.8809749
volume_sn_voxels_feature_396,-0.1276994,-0.71492934
volume_sn_voxels_feature_397,0.51888937,-0.99504316
volume_sn_voxels_feature_398,-0.06229701,-0.55028737
volume_sn_voxels_feature_399,-0.59864855,-1.1823903
volume_sn_voxels_feature_400,-0.081084296,-1.2443765
volume_sn_voxels_feature_401,1.2112377,-1.0865246
volume_sn_voxels_feature_402,0.16972068,-1.3074266
volume_sn_voxels_feature_403,-0.074537195,-1.353386
volume_sn_voxels_feature_404,1.1194634,-1.0122503
volume_sn_voxels_feature_405,1.0349562,-0.9300848
volume_sn_voxels_feature_406,1.0576377,-1.11659
volume_sn_voxels_feature_407,1.0693057,-1.2804161
volume_sn_voxels_feature_408,0.8595418,-1.2839597
volume_sn_voxels_feature_409,0.47644696,-1.1678338
volume_sn_voxels_feature_410,0.31845433,-1.2373596
volume_sn_voxels_feature_411,-0.012380479,-1.2711717
volume_sn_voxels_feature_412,1.0317725,-0.96875465
volume_sn_voxels_feature_413,0.90741426,-1.1049696
volume_sn_voxels_feature_414,0.8956239,-1.1317613
volume_sn_voxels_feature_415,0.80721885,-1.2212344
volume_sn_voxels_feature_416,0.776993,-1.1942283
volume_sn_voxels_feature_417,0.60807085,-1.1101404
volume_sn_voxels_feature_418,0.46813875,-1.1553757
volume_sn_voxels_feature_419,0.2449371,-1.2535279
volume_sn_voxels_feature_420,0.84992075,-0.92280513
volume_sn_voxels_feature_421,0.6806287,-1.2330883
volume_sn_voxels_feature_422,0.7875967,-1.138456
volume_sn_voxels_feature_423,0.7077005,-1.1350147
volume_sn_voxels_feature_424,0.50944674,-1.0001912
volume_sn_voxels_feature_425,0.34067446,-1.145976
volume_sn_voxels_feature_426,-0.06732008,-1.2175002
volume_sn_voxels_feature_427,0.5192118,-1.1201609
volume_sn_voxels_feature_428,0.7203968,-1.3263527
volume_sn_voxels_feature_429,0.59115654,-1.1114887
volume_sn_voxels_feature_430,0.45935613,-1.3021675
volume_sn_voxels_feature_431,-0.11748532,-0.57611454
volume_sn_voxels_feature_432,1.5833182,-1.0267726
volume_sn_voxels_feature_433,1.3454146,-1.0404459
volume_sn_voxels_feature_434,1.2714493,-0.96815974
volume_sn_voxels_feature_435,0.22044855,-1.1282847
volume_sn_voxels_feature_436,1.2333232,-1.0401742
volume_sn_voxels_feature_437,1.4231861,-0.96378475
volume_sn_voxels_feature_438,1.322051,-0.95104575
volume_sn_voxels_feature_439,1.0896981,-1.0207422
volume_sn_voxels_feature_440,1.146941,-1.164511
volume_sn_voxels_feature_441,0.80433786,-1.2426232
volume_sn_voxels_feature_442,1.3415574,-0.9729406
volume_sn_voxels_feature_443,1.1597086,-1.1868616
volume_sn_voxels_feature_444,0.9464707,-1.0779482
volume_sn_voxels_feature_445,0.93867105,-1.0942597
volume_sn_voxels_feature_446,0.7957796,-1.1301488
volume_sn_voxels_feature_447,0.6827987,-1.119101
volume_sn_voxels_feature_448,1.1598755,-0.85870874
volume_sn_voxels_feature_449,0.77402174,-1.2674925
volume_sn_voxels_feature_450,0.65388453,-1.0966133
volume_sn_voxels_feature_451,0.5236004,-1.08321
volume_sn_voxels_feature_452,0.64969194,-1.1358271
volume_sn_voxels_feature_453,0.75281405,-1.354067
volume_sn_voxels_feature_454,0.66572016,-1.1811035
volume_sn_voxels_feature_455,0.61776245,-1.1450845
volume_sn_voxels_feature_456,1.5345665,-1.0243996
volume_sn_voxels_feature_457,1.7210109,-0.86809385
volume_sn_voxels_feature_458,1.6107035,-0.9524833
volume_sn_voxels_feature_459,1.4030449,-1.0458189
volume_sn_voxels_feature_460,0.9284695,-1.0528008
volume_sn_voxels_feature_461,0.47701982,-1.0903449
volume_sn_voxels_feature_462,1.3922603,-0.87865645
volume_sn_voxels_feature_463,1.7156237,-0.88657695
volume_sn_voxels_feature_464,1.5600994,-0.9162197
volume_sn_voxels_feature_465,1.3611134,-0.91574156
volume_sn_voxels_feature_466,1.0980103,-1.0654703
volume_sn_voxels_feature_467,1.4052243,-0.7888251
volume_sn_voxels_feature_468,1.592542,-0.9138351
volume_sn_voxels_feature_469,1.4733559,-0.9861611
volume_sn_voxels_feature_470,1.2458692,-1.0580406
volume_sn_voxels_feature_471,1.047002,-1.1532267
volume_sn_voxels_feature_472,0.786381,-1.1152242
volume_sn_voxels_feature_473,1.3418326,-0.71329325
volume_sn_voxels_feature_474,0.89015937,-1.1455576
volume_sn_voxels_feature_475,0.87467927,-1.3631296
volume_sn_voxels_feature_476,1.0895355,-0.5071518
volume_sn_voxels_feature_477,1.4941715,-0.8320314
volume_sn_voxels_feature_478,1.2839346,-0.56572604
volume_sn_voxels_feature_479,0.5160566,-1.0754907
volume_sn_voxels_feature_480,1.1026115,-0.51184696
volume_sn_voxels_feature_481,0.82803494,-1.1358087
volume_sn_voxels_feature_482,0.5001729,-1.0859225
volume_sn_voxels_feature_483,0.9213072,-0.48012537
volume_sn_voxels_feature_484,1.009866,-0.7013042
volume_sn_voxels_feature_485,0.8349032,-0.716255
volume_sn_voxels_feature_486,0.9266698,-0.5372035
volume_sn_voxels_feature_487,0.91058886,-0.5990925
volume_sn_voxels_feature_488,-0.17302981,-0.4116451
volume_sn_voxels_feature_489,0.6712933,-1.1345648
volume_sn_voxels_feature_490,1.5764816,-0.78014433
