Feature,Factor_12,Factor_13,Factor_19
volume_sn_voxels_feature_27,-0.20516596734523773,0.6588549017906189,0.2650843858718872
volume_sn_voxels_feature_28,0.13432510197162628,0.1065923348069191,0.33704739809036255
volume_sn_voxels_feature_29,0.41479191184043884,0.7025558948516846,0.45950305461883545
volume_sn_voxels_feature_30,0.6706836819648743,0.36199161410331726,0.2714148461818695
volume_sn_voxels_feature_31,0.8125374913215637,0.06767244637012482,0.24200895428657532
volume_sn_voxels_feature_32,0.5960121750831604,0.05097728967666626,-0.12364277243614197
volume_sn_voxels_feature_33,-0.12755365669727325,0.15031024813652039,0.04656544327735901
volume_sn_voxels_feature_34,-0.4617350101470947,0.13804881274700165,-0.9844797849655151
volume_sn_voxels_feature_35,0.0548037551343441,-0.4486209452152252,-0.7790583968162537
volume_sn_voxels_feature_36,0.2061655968427658,-0.23451590538024902,0.02667989209294319
volume_sn_voxels_feature_37,-0.3357471525669098,0.19865202903747559,-0.021281108260154724
volume_sn_voxels_feature_38,-0.22926847636699677,-0.3550030291080475,-0.3618849217891693
volume_sn_voxels_feature_39,-0.49508950114250183,-0.44055092334747314,-0.2886112332344055
volume_sn_voxels_feature_40,-0.2755427658557892,-0.11024993658065796,-0.24313752353191376
volume_sn_voxels_feature_41,-0.3201277256011963,-0.05531390383839607,-0.23106729984283447
volume_sn_voxels_feature_42,-0.6889523863792419,0.1805015206336975,-0.15516310930252075
volume_sn_voxels_feature_43,-0.9110939502716064,0.8714106678962708,-1.0861141681671143
volume_sn_voxels_feature_44,-0.5722925662994385,0.08089981228113174,-0.44135522842407227
volume_sn_voxels_feature_45,-0.9422749876976013,0.27549904584884644,-0.0883248969912529
volume_sn_voxels_feature_46,0.34698453545570374,-0.3407321870326996,-0.45088639855384827
volume_sn_voxels_feature_47,-0.4870269298553467,0.2685905694961548,0.010130006819963455
volume_sn_voxels_feature_48,-0.06482089310884476,0.11824195832014084,-0.07660031318664551
volume_sn_voxels_feature_49,0.3424769937992096,-0.06889355927705765,-0.5977500677108765
volume_sn_voxels_feature_50,0.04964500293135643,-0.031234147027134895,0.12124251574277878
