Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v13,0.00042585196206346154,0.0003631344297900796,-0.0005222934996709228,-0.00040327152237296104,-0.0012081258464604616,0.0006555393920280039,0.0003717103973031044,-0.0015010155038908124,0.0009187074610963464,-0.0005861822864972055,-0.0013054165756329894,0.0014524166472256184,0.0015730152372270823,9.358146053273231e-05,0.0006937723373994231,0.0004371817340143025,-0.0006918148137629032,-0.00043911230750381947,-0.00024012953508645296,-0.001673824735917151,0.0001865044905571267,-0.00032121839467436075
volume_sn_voxels::v15,0.0005775495665147901,0.0005807253182865679,-0.00023218235583044589,-0.00022626003192272037,-0.0013044902589172125,0.0009661196381784976,0.00027709704590961337,-0.001321033458225429,0.0015031778020784259,-0.0010133375180885196,-0.0005522934952750802,0.0007389942766167223,0.0020354778971523046,-0.0005662476178258657,0.0004844783979933709,0.0008896056097000837,0.00018948849174194038,-0.0018985942006111145,-0.0008026738651096821,-0.0009515922283753753,0.0003457911079749465,0.0014883165713399649
volume_sn_voxels::v16,0.00046431802911683917,4.96153807034716e-05,-0.00011116204404970631,-0.0007031230488792062,-0.0008299231994897127,0.00020936345390509814,0.0014297403395175934,-0.0010875759180635214,-0.0008070603362284601,-0.0005154681857675314,-0.0001585818245075643,0.00021669291891157627,0.0008344166562892497,0.0007162378751672804,0.0013371207751333714,-5.348041304387152e-05,-0.0008011030149646103,0.0010043331421911716,0.0019223757553845644,-0.00036795015330426395,-0.0012529105879366398,-0.0002573428791947663
volume_sn_voxels::v17,0.0004574983031488955,3.7539757613558322e-06,-0.00039544329047203064,-0.0006700573721900582,-0.0009815504308789968,0.0002717268362175673,0.0010176572250202298,-0.0012265060795471072,-0.0007022310746833682,-0.00044066220289096236,-0.0008604864124208689,0.00045734926243312657,0.000667032552883029,0.0005321166827343404,0.0013128104619681835,-0.00020017086353618652,-0.0009183912188746035,0.0005134270177222788,0.0019004375208169222,-0.0004096331540495157,-0.0015040768776088953,-0.0006873340462334454
volume_sn_voxels::v20,0.0004343119799159467,0.00020525082072708756,-0.0007697676192037761,-0.0006495878333225846,-0.0013735261745750904,0.00034594727912917733,0.0006624259403906763,-0.0016204006969928741,0.0002810428850352764,-0.0006336418446153402,-0.0018845783779397607,0.0012095753336325288,0.0008144262246787548,0.00015351914044003934,0.000987159088253975,-0.00013679412950295955,-0.0004980816156603396,0.00010155206109629944,0.001030726358294487,-0.0011278609745204449,-0.0003914971021004021,-0.0006378539837896824
volume_sn_voxels::v21,0.0005032862536609173,0.00030932825757190585,-0.0007520307553932071,-0.0006002160953357816,-0.0014300694456323981,0.0005406358395703137,0.0005476700025610626,-0.0014604819007217884,0.0006120133912190795,-0.0008984677842818201,-0.001430103206075728,0.0011571942595764995,0.0011615114053711295,-1.8488211935618892e-05,0.0008892736514098942,-0.00016063314978964627,-0.00030614875140599906,-0.0002954464580398053,0.0005197000573389232,-0.0015805956209078431,2.9528207960538566e-05,-0.0004930575960315764
volume_sn_voxels::v25,0.000507908989675343,7.813540287315845e-05,1.493273543928808e-06,-0.0009853827068582177,-0.0009512546239420772,-6.550441321451217e-05,0.0014799196505919099,-0.00101508479565382,-0.0010869805701076984,-0.0006383082363754511,-5.135940227773972e-05,0.0004193149507045746,0.00020138887339271605,0.00013088741980027407,0.0015042730374261737,0.0002009769668802619,-0.00032197567634284496,0.0009416067041456699,0.0019991702865809202,5.359460919862613e-05,-0.0020984213333576918,0.00010144777479581535
volume_sn_voxels::v26,0.0005214271950535476,2.4796725483611226e-05,-0.0003227509732823819,-0.0010130924638360739,-0.0012062175665050745,-5.236419019638561e-05,0.001150814350694418,-0.0012354429345577955,-0.0008996896212920547,-0.0006201572250574827,-0.0008776765898801386,0.0005884476122446358,0.00015724216063972563,0.0001410459663020447,0.0013193544000387192,-5.4883817938389257e-05,-0.0005129550700075924,0.0005018223309889436,0.002309374511241913,7.350063242483884e-05,-0.002133712638169527,-0.00037482549669221044
volume_sn_voxels::v28,0.0004889408592134714,0.00013214958016760647,-0.0006468009669333696,-0.000793809536844492,-0.0013999954098835588,1.1178211934748106e-05,0.0006992067792452872,-0.0013275365345180035,-0.0002539902343414724,-0.0006551343249157071,-0.0014031055616214871,0.0007774974219501019,0.00036734220338985324,-2.6784768124343827e-05,0.0009168104152195156,-0.00029196933610364795,-0.00016694056103006005,0.00013135690824128687,0.001632382278330624,-0.0003996759478468448,-0.0011053711641579866,-0.0005547128384932876
volume_sn_voxels::v29,0.0005144556635059416,0.00020286967628635466,-0.00068734644446522,-0.0007128206780180335,-0.0015182853676378727,0.00018423510482534766,0.0005375441978685558,-0.0012987761292606592,4.429956607054919e-05,-0.0009017425472848117,-0.0013173589250072837,0.0008151354268193245,0.0005777139449492097,-0.00021045359608251601,0.0008214594563469291,-0.0003405692696105689,8.96141427801922e-05,-0.0001149368763435632,0.0011414701584726572,-0.0008244136697612703,-0.00041547248838469386,-0.0003772597701754421
volume_sn_voxels::v34,0.0006187107646837831,0.0001328034559264779,-0.00013010951806791127,-0.0011783527443185449,-0.001425710623152554,-0.00018826668383553624,0.0011336787138134241,-0.0011856310302391648,-0.0008358697523362935,-0.0007335640257224441,-0.0008982728468254209,0.0006185471429489553,-0.0003311356995254755,-0.00033237054594792426,0.0010455790907144547,-4.6580826165154576e-05,-1.6137219063239172e-05,0.0005174733814783394,0.002481614239513874,0.0003590953419916332,-0.0025428012013435364,0.00015469666686840355
volume_sn_voxels::v35,0.0005439143278636038,0.0001752389216562733,-0.0003479719453025609,-0.0009819474071264267,-0.0013629415770992637,-0.00015046779299154878,0.0008017176296561956,-0.00122286775149405,-0.0006526024080812931,-0.0007634718785993755,-0.0013445978984236717,0.0006102636107243598,-0.00016818635049276054,-0.0002799096400849521,0.000769450212828815,-0.00021792936604470015,7.763088069623336e-05,0.0003368886245880276,0.0020005800761282444,0.0002501137205399573,-0.0019462460186332464,-7.29718740331009e-05
volume_sn_voxels::v36,0.0005529317422769964,0.000132466055219993,-0.000534883001819253,-0.0008820252260193229,-0.0015025422908365726,-1.802306178433355e-05,0.000575575337279588,-0.0011465074494481087,-0.0003521731705404818,-0.0008299064938910306,-0.001391864032484591,0.000604859204031527,0.00013318212586455047,-0.0002741680364124477,0.0006262150127440691,-0.0003584242076613009,0.0002664207713678479,9.205195965478197e-05,0.0018485155887901783,2.7165417122887447e-05,-0.0009989954996854067,-0.00019676997908391058
volume_sn_voxels::v41,0.0005581732257269323,0.00024155303253792226,7.568787259515375e-05,-0.0011843370739370584,-0.0013416872825473547,-0.0001802764309104532,0.0009291345486417413,-0.0010649511823430657,-0.0007276449468918145,-0.0006194415036588907,-0.000863303488586098,0.0007002225611358881,-0.0008876916253939271,-0.00046487501822412014,0.00033113849349319935,4.162007826380432e-06,0.00044834674918092787,0.0005559571436606348,0.002035447396337986,0.0003326237201690674,-0.00217409897595644,0.0006516423309221864
volume_sn_voxels::v42,0.0006298474036157131,0.00027841373230330646,-0.00016678651445545256,-0.0011164682218804955,-0.0015066714258864522,-0.00010838939488166943,0.0007601382676512003,-0.0011002370156347752,-0.0006849500350654125,-0.0008512269705533981,-0.0012590930564329028,0.000658556935377419,-0.0005355932516977191,-0.0004965561092831194,0.000327332119923085,-0.0002795898471958935,0.0005459509557113051,0.00041526235872879624,0.002011097501963377,0.0004195254878140986,-0.0017890090821310878,0.00024295829643961042
