Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v12,-455.34588623046875,5.372293949127197,-0.27552056312561035,-0.07894806563854218,34.26027297973633,-1.4632072448730469,0.1787114441394806,-2.040714740753174,-5.680122375488281,-0.899046778678894,-4.476245880126953,-0.35044968128204346
volume_sn_voxels::v13,-462.8345031738281,3.700347661972046,-0.030792618170380592,-0.1717713624238968,11.314994812011719,-1.211029052734375,0.1953985095024109,-1.8977386951446533,-3.9542624950408936,-0.41998085379600525,-2.0564510822296143,0.658682107925415
volume_sn_voxels::v14,-452.3192138671875,0.9989593625068665,0.05869118124246597,-0.253871351480484,-2.2761552333831787,-0.8997545838356018,0.1408824920654297,-1.6887274980545044,-1.7839019298553467,0.06512054055929184,-4.090758323669434,1.684778094291687
volume_sn_voxels::v15,-496.85101318359375,-0.6076213717460632,-0.07182382047176361,-0.4202941060066223,-16.400686264038086,-0.6532078385353088,-0.0879436656832695,-1.9343007802963257,0.8357860445976257,0.5800517797470093,-11.42744255065918,2.561393976211548
volume_sn_voxels::v16,-184.23385620117188,-56.504608154296875,-1.7196671962738037,-0.017589973285794258,90.22998046875,-0.3818676769733429,0.9740188121795654,0.4410068392753601,-2.662748336791992,-1.5648881196975708,-4.2166571617126465,0.20398841798305511
volume_sn_voxels::v17,-208.3936767578125,-30.265289306640625,-1.1335731744766235,-0.05312342569231987,82.60023498535156,-0.7504705786705017,0.5142751336097717,0.1819009631872177,-4.474246501922607,-1.7043603658676147,-4.007510185241699,-0.3564414083957672
volume_sn_voxels::v18,-295.46673583984375,-11.745980262756348,-1.0098074674606323,-0.057432543486356735,94.43856048583984,-1.2429113388061523,0.38537779450416565,-0.7152758836746216,-6.677104473114014,-2.2834508419036865,-6.1339640617370605,-0.4198713004589081
volume_sn_voxels::v19,-322.44976806640625,-0.9276934266090393,-0.3621409833431244,-0.06458219885826111,79.71273040771484,-1.3596627712249756,0.272397518157959,-1.2805026769638062,-6.212031364440918,-2.0482847690582275,-4.991832256317139,-0.19739417731761932
volume_sn_voxels::v20,-360.4977111816406,2.7434489727020264,0.06676574051380157,-0.16723108291625977,60.55025100708008,-1.4093475341796875,0.3279086947441101,-1.768148422241211,-5.241690158843994,-1.760328769683838,-4.251795291900635,0.8953888416290283
volume_sn_voxels::v21,-406.6771545410156,3.8398196697235107,0.34768009185791016,-0.30785661935806274,36.01993942260742,-1.2663822174072266,0.5490543842315674,-2.095982074737549,-3.810032367706299,-1.284893274307251,-1.1399257183074951,2.319575786590576
volume_sn_voxels::v22,-423.9543151855469,2.10155987739563,0.5567362308502197,-0.42486342787742615,9.309222221374512,-1.073215365409851,0.5757215619087219,-2.070575714111328,-1.938876986503601,-0.6392312049865723,0.019271450117230415,3.412684679031372
