Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2.343122879580831,6.772905730709631,8.13195925305958,4.084170804966054,0.4504044995459007
2.4564564895250016,6.556971879941071,8.887877810830991,4.202998441975291,0.15980658117127056
2.667921723820267,6.202181551855696,9.146212702440437,4.205424702316372,0.0
2.90663138258962,6.103046339244236,8.887508693893631,4.02812911425982,0.0
3.1143837900531466,6.435825153528204,8.533047596582815,3.8335103353013,0.0
3.2829323461047846,6.997321091023149,8.15987512355882,3.6538558816619497,0.0
3.3956920779541107,7.610982867284682,7.429263957987412,3.3312252798568207,0.18674720865541514
2.702976455871673,5.542518147917664,6.603180910421062,3.7480647681674673,0.8470784183686284
2.6110892831701293,5.22533364328689,7.552217319436468,4.023311666343628,0.5863491202757731
2.6626799638955974,5.22879762288015,8.327280491532775,4.202747424862784,0.28553820207691927
2.8162233531489895,5.453572580110897,8.74436545102218,4.276059686313932,0.02772898202373488
2.9614164480866854,5.753985316647595,8.625601925500607,4.142549518134825,0.0
3.099797580735765,6.3665651834678005,8.350684390176411,3.9559211657797397,0.0
3.222578432814238,7.209484609970101,7.99511371788015,3.7719916406158407,0.0
3.147928931460892,4.819988052134396,6.051633929945385,3.3127925057703123,0.9455772249709605
2.9832798010296773,4.503876060108647,6.972051687448672,3.67675695751937,0.7059183452197414
2.913657164460954,4.696689246003274,7.761957650211443,3.957554389893074,0.42034310998241203
2.929138547635662,5.277272928379204,8.27735519811036,4.154797564841809,0.13860928767325553
2.9787259001566855,6.079553311165232,8.353981467676977,4.178967918785924,0.0
3.0392223061571904,7.06296094946587,8.090126183875977,4.025474039250545,0.0
3.124033372337359,8.199439974125093,7.721463391220578,3.8352719155472226,0.0
3.542854204252034,5.7745582649774905,5.544734602207233,2.7350961789983064,0.9710885557359287
3.3282670369006633,5.186791112069575,6.470136705580952,3.1722386624153,0.7640342929527235
3.15167298688717,5.354600566283947,7.274698809769715,3.5573402835060994,0.5055578698846696
3.043923536645508,6.193944693690138,7.814216635374616,3.8769439151965233,0.21858514578470378
3.0007989830609145,7.55843161414683,7.9500709496839574,4.0406981773508175,0.0
2.9825841803218007,8.908766377037237,7.649707280134687,3.9373653954277095,0.0
3.555787177422344,9.299186361372923,5.92633190014589,2.551374420204825,0.6334505801620421
3.3316944365251997,8.977189921109394,6.708065214346875,3.010197119813183,0.4303962155024492
3.1494563907082505,9.549770917364556,7.2053437293045155,3.4019341732802166,0.19597219667106736
3.039665716556481,10.788664392096962,7.328935850391784,3.638682213126243,0.0
3.1993129774892255,18.13175444794335,5.832912344111001,2.1013770095696125,0.2485658856944527
3.6613772675493657,14.334957484103697,5.632557882985035,0.3263769849925207,1.1749748706617331
3.839854907748103,13.131658608625166,6.450505017821914,0.4312836001087911,0.9423618576141841
4.055494395629701,14.22212591279519,4.604787926579819,0.0,1.3289856838355354
3.3173998204234523,10.867141073792743,8.424445621039283,1.534499397160314,0.5329554184093154
3.826203633102188,11.656650511487134,7.03523164679726,1.0080421757486417,0.6976440204618038
4.095113090573606,12.0252117668313,5.2725862804374195,0.373442284958892,1.1998425505405845
2.9005745858714693,9.661971951882933,9.07728883077951,2.5473064603613693,0.30137738485098975
3.268406312511501,10.18132794077056,8.353722956781585,2.3912071801700265,0.24854365914014967
3.671620114772896,10.291185078343632,7.2723463850809305,1.9228493507868036,0.45325773833327804
