Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
0.152777,-1.0558369,-2.392694,0.71388966,1.4070852,-0.45468262,1.8585501,-0.36985844,0.8244507,0.70912194,-1.0903206,-0.85703,0.038203023,-0.14729671,0.28436175,-0.8395447,-0.7444034,1.2272058,-0.77439255,1.2786888
0.61275506,0.503086,0.16130623,0.46961793,1.216307,0.87705994,0.35974672,-1.2006474,-0.8636006,0.8617432,0.99379414,-1.7762474,-0.9386032,0.51546407,-0.54519004,-0.1123252,-0.3773512,-0.40860265,-0.055042453,-0.36807144
-0.8050131,1.1337584,-1.0439073,1.2988218,0.040210936,0.7731867,-0.31859663,-0.19177514,-1.6214201,-0.41112143,0.24711417,0.6691578,-0.48889023,-1.6733128,-1.3180041,-1.0350395,0.76374674,0.2579047,-2.8594024,-0.3352995
0.5065469,-2.560005,-1.2609528,1.172254,-2.0399032,0.23625071,0.54818237,-1.6161755,-0.9452788,-0.7178032,-0.9109812,0.60072976,0.4377773,-1.8741976,-1.3363119,1.0779444,0.5668905,0.25846303,0.26982462,2.1976755
-0.81733805,-1.0800003,-0.6328876,1.1435293,-2.5812333,1.3413328,0.78058,0.26051387,0.33483306,-1.6858039,0.9435338,1.770572,-0.744102,-0.46311596,-0.5532588,0.30059135,-2.019754,0.62168,-0.08803744,0.44210625
0.603764,-0.8755428,-1.1560024,-0.54467326,-0.03279969,-0.41612968,0.1791592,-1.2514793,-0.0058745113,0.6825249,0.609237,-0.16304553,-2.13897,-3.1013637,-1.4893934,-0.1331306,1.3618784,-0.53770393,-1.8120695,0.21866384
-0.19042337,-0.3809833,-0.17770799,1.4258478,0.30768234,1.2717133,0.47874427,0.08077838,0.5637074,-1.1933016,0.90538126,-0.5003867,1.5384579,0.58191925,-0.15338583,-0.6282848,1.0458521,0.4741504,1.2872429,-1.43957
-0.9738788,0.7996248,0.6483476,0.19448403,1.0164733,-0.764105,0.88254946,-1.0370946,-0.702754,-0.8930467,-0.69897515,1.313021,0.39158255,2.4713528,1.1364547,0.86807007,0.08736162,-2.4438643,-0.4654723,-0.12867777
0.009764598,0.73566455,-0.040701777,0.30337715,-0.09981919,-0.40994278,0.63382316,-1.5976263,1.0793799,-0.24074957,1.4615828,1.7883741,1.5772816,-0.6467348,-1.1556281,-1.2083114,-1.3761432,-0.2751465,-0.43724203,0.29253605
-1.8434281,-1.4164089,-0.5519827,0.26242036,0.5424233,0.6941112,-0.018438846,-0.31430802,1.0702223,1.0396686,0.7726797,0.56619906,-0.97865504,-0.02454861,0.6238403,0.8593823,1.6921164,-0.3391452,-0.70796144,1.081177
-0.16651767,-1.4223572,1.156468,0.6231897,-0.34598878,0.6503356,-1.0895827,-1.4545732,-0.059354752,-1.5415196,2.2230616,0.15558463,0.3247942,0.30264,0.7501641,0.46453762,0.017990513,-0.77306676,-2.1988282,-1.3090132
-0.5818,-0.9099606,-0.044904098,-0.89056784,-0.2432365,0.08117312,-1.5485764,-0.052741904,-0.433034,0.15145834,0.7309262,-1.6674594,-0.28532907,0.3511454,0.30484834,-1.3707864,0.7352031,1.5108562,-0.75618124,0.47275808
-0.7877928,0.92231935,-0.76515037,-1.6586741,-0.5823508,-0.3269248,-0.4741855,0.37239867,-0.70336336,-0.21261682,0.042163353,1.4117497,0.7773759,-0.71281624,-0.41268805,0.9925894,-1.1642704,-0.11777123,1.3580263,-0.74909407
-1.559456,-1.1749971,-0.63577783,-1.4973484,0.19599065,-0.3762025,0.29492977,0.55400676,-0.18791457,-0.7870679,-0.6009616,-0.20879893,0.5058482,-0.8549253,1.5815926,1.30082,-0.014951798,-1.0618087,-0.30369598,-0.17644715
-0.6333103,2.1374605,-0.5091769,-0.63966256,-0.60993683,-1.2521653,-0.86320853,-0.086154714,-0.3192058,0.5446747,-0.23136328,-0.2919526,-1.4331999,-0.60576516,0.91576177,0.7324431,-1.1376591,-0.5150744,1.3383541,-0.69644684
-0.9938147,0.0871729,0.9907063,-0.8741312,-0.67837894,0.443419,-0.2484147,-0.0895173,0.7631133,0.47889614,-1.0332077,1.6113344,-1.9843458,0.67160964,-1.3059955,0.25433218,-1.2126777,-0.24742417,-0.08792801,-1.3418702
1.4134423,2.0010846,-0.6114464,1.7960639,-1.1313508,1.3042334,-0.014843632,-0.28950572,-0.55885375,-0.4539733,0.89961976,1.0503087,0.30428508,-0.11433964,-0.6467773,1.2654139,0.50316787,-1.2381144,0.48740017,0.31133175
0.43983594,-1.2086893,0.92087483,0.36782557,0.77380466,1.5590119,-0.12458362,-0.48615906,-0.6977121,-0.136715,0.36223853,0.10375276,-0.44215262,-2.1615133,0.6158991,0.25302184,0.24949972,0.8414037,-1.9706372,-0.38259953
-0.8409941,-0.9675238,-1.8974215,-0.32444966,0.32971224,-2.0537076,1.4618853,-0.5081296,1.3657129,0.20413904,0.5621683,-1.8332366,0.48148733,-1.4639381,1.2761048,1.2890134,0.10736874,0.69864845,0.42723873,0.23147416
0.36296424,-0.937392,-1.2982111,-0.6558354,0.75814176,-0.64986765,0.012623597,-0.081206754,0.52460176,-0.15137377,1.254919,0.59565204,0.29353583,0.25771567,0.39306924,-0.8721155,0.28135914,0.075143,-0.31411663,2.0822127
1.5473211,1.5925785,0.019376593,1.7741053,0.048581067,1.3939683,0.9379944,-0.6204965,-1.1336966,0.16468696,-1.1487908,-1.0466335,1.3222734,0.687312,-0.08104903,-1.830326,0.38648498,0.08972569,0.7905471,-0.6305833
-0.8399207,-0.40611735,0.836778,0.81553453,-1.8961072,0.4225124,-0.878997,-0.24258153,-0.8136438,-0.6001308,-1.8830868,-1.089259,-1.0139214,1.0999236,0.60513884,-0.62665266,-0.042058576,-0.6648441,-0.24481525,0.6159098
-0.14941798,0.047405824,-1.9794178,0.5815398,-1.9191574,0.13870475,-0.0831363,0.57215476,0.4228751,-0.26114768,1.1790367,0.70419854,-1.3014108,-0.4658829,0.6852451,-0.52591455,0.19073407,-0.14662565,0.12104376,-0.9295337
2.2161899,-0.26392835,6.5429114e-05,-0.22504105,0.37801826,-0.36664528,0.011607527,-0.76552033,-1.5365237,0.3226809,1.0958669,0.6010636,-0.63672835,-0.48626354,0.09893737,0.19357958,1.167524,-0.8515374,-0.08018005,-1.6352149
-0.61122257,0.2919755,0.13157754,-0.3229774,2.20337,-0.87432283,-1.4174724,1.8229626,-0.16498885,-0.5641432,1.8000599,-0.29280716,-1.0758833,-1.2656049,-1.6509471,-0.4149319,0.6995347,-0.1440537,-2.726749,0.33520782
-0.74027103,0.32833508,-0.24333888,0.3242892,-0.4372925,-0.328757,0.23180021,-0.095807716,1.112344,-0.9194641,0.6033256,0.58363,-0.68177503,0.5378067,1.3271232,-1.2647489,0.12020771,-0.5037322,-0.98398143,-0.4150741
0.28345978,0.7504496,-0.9536717,0.43145975,1.177599,-0.1591338,-0.57324696,-1.1982137,0.36037838,-0.90928096,0.11690795,-0.0022614934,-0.80607074,0.35100082,0.23745471,-0.6787316,-1.522689,0.29050282,-0.61584055,1.2773117
