Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_41,-0.006688123,-0.8840916,-0.31748658,-0.12356623,-0.60529387,-0.39694077,2.346909,0.9596999,1.3864167,0.29813632,0.74665886,1.5212456,-1.0335612,0.7543206,1.447024,1.3364551,-0.641998,0.58447605,-0.6072833,0.64754426
Subject_42,-1.8470049,-0.81802154,-0.62903446,-0.22317205,-0.49547854,0.26514104,0.756675,1.0460573,1.1786011,-1.233643,0.7927707,0.50315726,-0.24709043,-0.19901592,0.80122226,-0.15611579,0.11796166,1.4843707,-1.2196991,0.53580517
Subject_43,-0.35044494,0.05748933,-1.6702362,-0.13613412,-1.6458745,0.34849995,-1.2353138,1.291442,0.021181494,0.6403411,0.4925401,-0.9545528,-0.15347145,0.6046203,-1.4944453,-0.38614133,-0.2991532,0.13406782,-0.23758012,0.5961605
Subject_44,-0.07455286,0.3424381,0.123342596,-0.1522254,0.0034967416,0.7493827,-0.18359926,-0.20293063,-0.80045766,1.2977381,0.59963185,-0.3603627,2.1955743,-0.22553821,0.3546536,-0.36149424,-0.10750497,-1.6854539,0.12450777,0.36667287
Subject_45,1.1619107,0.1802929,0.19158286,0.15768345,0.9692552,-1.1377944,-0.87631077,2.0266814,-0.059276607,2.3747857,0.053736668,-0.20239058,-1.4439458,0.4663607,-0.13689217,0.5451954,0.20453016,-0.8930872,0.41963306,-1.360257
Subject_46,0.82290107,-0.27929887,-0.7910526,1.2382158,-0.3672048,0.49986458,0.2504815,0.257037,1.0054257,-1.1150228,0.43391165,-0.58693266,0.0938754,-1.0752664,-0.9641578,-0.22823308,-0.5086929,-0.006255177,0.6744998,0.9180713
Subject_47,0.47852296,0.17729542,-0.219274,-1.2021832,1.5847311,-0.00512451,-0.68434185,-0.13213146,-0.9033185,0.9954593,0.7657186,-1.3272489,1.4210907,-1.2790325,0.21379471,-1.7487456,-0.25971055,-0.21229942,0.39996248,0.36032933
Subject_48,-1.9225678,0.7027484,0.9046737,-1.1093718,-0.5475794,1.1491872,0.26052055,-1.2820221,-0.37896988,-0.6509741,0.7870578,-0.47135997,1.0710621,-1.5794753,-2.3076751,0.54806083,-0.21835673,1.0221744,-1.254842,-0.06181821
Subject_49,-0.8221005,-0.22802216,-0.77668095,2.1929078,-1.7944862,0.20630023,-5.0430436,-0.37130544,0.06299085,0.96891093,0.2054687,0.86751586,1.4532379,-1.1768237,2.347548,-3.1468115,-0.2834751,0.8189461,0.5072637,0.7948465
Subject_50,-0.039207835,-1.0490642,0.64945436,-0.35167697,0.23453288,0.195017,-0.16107959,-0.34000766,-0.869116,0.62089586,-0.734039,1.3691202,0.5928242,0.62687886,-0.45235088,0.12182081,-0.35936958,0.43470207,0.069130555,0.63501185
Subject_51,0.463862,-0.107157215,1.3705754,0.21662715,-0.8639592,-0.36562797,0.6629618,-1.7654564,-0.9423678,-0.34110418,0.24233928,-1.5409335,0.2692193,0.34578985,0.0013080969,-0.8573753,0.85139066,0.45458394,0.7896914,-1.6059054
Subject_52,1.0703171,0.5095488,-1.0472841,0.6892226,-2.2157826,-0.1025553,-0.46876156,-0.5163567,2.043988,-1.0680121,-0.7436298,0.53138644,-1.2131068,2.5145907,0.6341485,-0.43128914,-0.2224066,0.43384105,0.5327998,-0.061970036
Subject_53,-0.70178205,-1.3972585,-1.0610938,0.4934786,1.021659,0.033219777,1.5574187,-0.87389934,-0.31210566,-0.6960098,0.91491336,0.16842288,-1.1173476,-0.5100571,0.5261705,-0.53775746,-0.7695796,0.37399745,1.445942,-1.8906881
Subject_54,-0.124164626,-0.56726146,0.8020455,-0.16237807,-0.0702732,0.00029944378,0.026846511,0.1639312,-0.30071154,0.015470871,-0.39633656,-0.0427195,-0.87437403,-0.12702172,-2.0072737,0.59070754,-1.8641336,-0.15676844,-1.0997195,-1.1785533
Subject_55,0.027901104,0.38992533,-0.43436533,-0.7315325,0.192666,-0.9248356,1.1539866,-0.46121126,-0.4592299,1.0706092,1.008498,-0.14290604,-1.9887427,1.1689746,2.4216537,-0.40128914,-1.3345121,0.62111884,-1.5375196,-0.3579797
Subject_56,1.2979561,1.1376054,0.91510195,-0.20927829,2.0551727,0.27738094,0.20655777,-0.88475794,0.588709,-0.751562,0.02086577,0.7649434,-0.21152988,0.8224503,-0.33226287,0.041410275,-0.26385707,0.94386375,0.9898271,-1.6719005
Subject_57,1.4084518,-0.80766845,-0.72869426,0.1556274,-0.632344,0.77848125,-0.054847077,0.64147323,-0.12600243,0.70015466,-2.164571,0.15113766,-0.5638788,1.1558058,1.2298625,-1.595052,2.040987,0.31397325,0.3944463,-1.6692809
Subject_58,-1.118321,0.7372116,-0.16913971,-0.12681621,0.24383904,-0.7376614,-0.87748295,0.1432841,0.5873232,-0.19527824,2.0668101,-1.686447,1.1426591,-0.9589494,-0.7900133,-1.8961374,-0.54502684,-0.35987347,-0.17237423,2.1493254
Subject_59,-0.4305671,0.30227622,0.6480842,-0.18602064,-0.1101754,-0.44148114,0.44193605,-0.3080771,-0.7870547,-0.003871909,-0.37965664,1.1771493,-0.832903,-0.6037404,-1.170265,0.2308016,-0.004461602,0.41865006,0.2098867,-1.6536199
