Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_36,0.69518834,0.5243639,-1.0684317,-0.0041747303,0.10815205
Subject_37,-0.122475065,0.85491943,0.053063326,-0.3354438,0.66346586
Subject_38,0.2717081,0.6493503,-1.0948315,0.899091,1.1761161
Subject_39,-0.20030807,-0.452918,-0.17050143,0.4290241,-2.119845
Subject_40,-0.87689483,-0.4270407,-1.4651953,0.23121618,1.1834973
Subject_41,-0.23034988,0.5110521,-1.1341021,0.54751664,-1.3138874
Subject_42,0.5238782,0.70456266,-0.8969593,0.21880645,-0.2546033
Subject_43,-0.7734868,-0.06351469,0.14084247,-0.80120987,-0.36928397
Subject_44,-0.5681419,1.0401925,-1.4080132,-0.5137883,-0.64170974
Subject_45,0.004701376,1.1019256,-0.04351139,-1.347904,-0.12834474
Subject_46,0.7029774,-0.49466956,-1.1401416,-0.088085175,-0.6414174
Subject_47,0.37728378,-0.010356397,-0.9151572,1.023013,0.64492875
Subject_48,0.26434833,-0.043050792,-0.05020949,0.8403546,0.76069504
Subject_49,-0.3751634,-0.0836883,1.1753774,-0.0617616,0.63470906
Subject_50,-0.48615456,-1.3392264,0.012206194,-1.8781881,1.1408365
Subject_51,0.8677901,1.0132563,0.35247046,-0.299887,0.61457366
Subject_52,1.000424,-0.9501567,0.6356673,-1.4431245,-2.0501304
Subject_53,-0.31415436,-0.27344608,0.91319716,-1.7011659,-0.8307855
Subject_54,0.54829174,1.8315915,-0.028327085,1.2471092,-0.1958923
Subject_55,-2.0310156,-0.1271413,0.50381875,1.0610453,0.044286218
Subject_56,-1.7997442,-0.5937908,1.2913692,0.4275829,1.1639961
Subject_57,-0.76773655,1.9507793,-0.7935331,-1.6897384,0.5792262
Subject_58,-0.9472259,-0.24603538,-0.28731194,0.3908625,0.43776357
Subject_59,0.67643577,-0.7518801,0.62689334,-0.12089474,0.47209108
Subject_60,-0.022532964,1.6839758,-1.5992161,-0.8889781,-0.1524366
Subject_61,-0.6215019,-1.0642503,0.8868648,-0.048541725,-1.4906563
Subject_62,-2.3239374,-1.2889669,-1.4536712,-2.025481,-0.33835554
Subject_63,0.77984864,2.2811189,1.3933192,1.0323808,-1.73947
Subject_64,-0.23976736,0.1829277,-0.35151884,-0.26054388,0.5944399
Subject_65,-1.1207962,0.3362683,-1.0295357,0.66143066,0.32345948
Subject_66,0.40326002,1.0166563,0.6210118,0.59008527,0.022927541
Subject_67,-1.2407619,-2.3229067,1.3321884,-1.356484,-2.157131
Subject_68,-1.0610174,-1.2488513,1.8166256,-0.67817634,-0.07325148
Subject_69,-0.01841544,0.25120455,-0.46862257,1.851887,-0.9722482
Subject_70,-0.249584,-0.13912973,-0.47990638,0.447046,-0.7781206
Subject_71,-0.7075688,1.304244,-0.54777855,1.4178479,-1.3479269
Subject_72,-0.6882742,-1.1783403,0.8839938,-0.4551825,-0.4759787
Subject_73,-1.5362405,-1.047024,0.8501533,-0.1678653,-0.010238918
Subject_74,-1.1745852,0.053486183,-0.7247238,-0.6950921,-1.3164815
Subject_75,0.9197659,0.6936456,1.496958,-0.34693757,-0.08722978
Subject_76,-1.5084175,1.7659811,-0.99132985,-1.9019375,0.8128819
Subject_77,0.18835405,-0.73517257,0.048148073,2.641355,-0.3476548
Subject_78,-0.36232933,-2.3411834,-1.3722904,1.2232031,-0.7668808
Subject_79,1.2259364,1.9404336,-1.5615839,-0.23791935,0.681423
Subject_80,0.40878356,0.08979998,-0.15716131,-1.4372543,0.6412432
Subject_81,-0.584339,-1.1428541,1.0662323,-0.42414764,0.9861428
Subject_82,0.9184921,-1.4242222,-0.09182344,-0.8213286,0.17887212
Subject_83,0.54031163,-0.42150295,1.0467826,0.66683066,0.520475
Subject_84,0.91850734,1.3481236,0.051407106,0.26860958,0.52988
Subject_85,0.026189448,-0.6746072,0.84694433,0.18543838,-0.17824051
